,storm_id,storm_year,storm_basin,storm_max_wind,storm_min_wind,storm_avg_wind,storm_max_pressure,storm_min_pressure,storm_avg_pressure,storm_start_time,storm_end_time,Category,Adjusted_2023_Cost_BDollars,storm_name
0,AL122005,2005,north_atlantic,150,25,74.11764705882354,1008.0,902.0,965.6764705882352,2005-08-23 18:00:00,2005-08-31 06:00:00,3,195.0,KATRINA
1,AL092017,2017,north_atlantic,115,15,40.067567567567565,1013.0,937.0,997.0,2017-08-16 06:00:00,2017-09-02 12:00:00,4,155.0,HARVEY
2,AL092022,2022,north_atlantic,140,30,70.5,1006.0,937.0,979.775,2022-09-22 18:00:00,2022-10-01 06:00:00,4,115.2,IAN
3,AL152017,2017,north_atlantic,150,30,81.3970588235294,1016.0,908.0,967.1323529411765,2017-09-16 12:00:00,2017-10-02 12:00:00,4,111.6,MARIA
4,AL182012,2012,north_atlantic,100,25,61.55555555555556,1006.0,940.0,971.8666666666667,2012-10-21 18:00:00,2012-10-31 12:00:00,1,85.9,SANDY
5,AL092021,2021,north_atlantic,130,20,53.625,1006.0,929.0,986.7,2021-08-26 12:00:00,2021-09-04 18:00:00,4,82.4,IDA
6,AL112017,2017,north_atlantic,155,15,100.45454545454545,1008.0,914.0,953.5909090909091,2017-08-30 00:00:00,2017-09-13 12:00:00,4,62.0,IRMA
7,AL041992,1992,north_atlantic,150,20,73.9423076923077,1015.0,922.0,978.75,1992-08-16 18:00:00,1992-08-28 06:00:00,5,58.6,ANDREW
8,AL092008,2008,north_atlantic,125,30,80.0,1006.0,935.0,965.1935483870968,2008-09-01 06:00:00,2008-09-15 12:00:00,2,42.0,IKE
9,AL092004,2004,north_atlantic,145,15,81.22340425531915,1010.0,910.0,965.8829787234042,2004-09-02 18:00:00,2004-09-24 06:00:00,3,33.0,IVAN
10,AL142018,2018,north_atlantic,140,25,66.57894736842105,1006.0,919.0,976.6052631578947,2018-10-06 18:00:00,2018-10-15 18:00:00,5,30.2,MICHAEL
11,AL252005,2005,north_atlantic,160,25,88.54166666666667,1004.0,882.0,956.6666666666666,2005-10-15 18:00:00,2005-10-26 18:00:00,3,29.1,WILMA
12,AL062018,2018,north_atlantic,130,20,65.56962025316456,1008.0,937.0,982.0379746835443,2018-08-30 06:00:00,2018-09-18 12:00:00,1,29.0,FLORENCE
13,AL182005,2005,north_atlantic,155,20,78.47222222222223,1009.0,895.0,962.6111111111111,2005-09-18 00:00:00,2005-09-26 06:00:00,3,28.5,RITA
