Retired_Names,year,basinName
Agnes,1972,north_atlantic
Alicia,1983,north_atlantic
Allen,1980,north_atlantic
Allison,2001,north_atlantic
Andrew,1992,north_atlantic
Anita,1977,north_atlantic
Audrey,1957,north_atlantic
Betsy,1965,north_atlantic
Beulah,1967,north_atlantic
Bob,1991,north_atlantic
Camille,1969,north_atlantic
Carla,1961,north_atlantic
Carmen,1974,north_atlantic
Carol,1954,north_atlantic
Celia,1970,north_atlantic
Cesar,1996,north_atlantic
Charley,2004,north_atlantic
Cleo,1964,north_atlantic
Connie,1955,north_atlantic
David,1979,north_atlantic
Dean,2007,north_atlantic
Dennis,2005,north_atlantic
Diana,1990,north_atlantic
Diane,1955,north_atlantic
Donna,1960,north_atlantic
Dora,1964,north_atlantic
Dorian,2019,north_atlantic
Edna,1954,north_atlantic
Elena,1985,north_atlantic
Eloise,1975,north_atlantic
Erika,2015,north_atlantic
Eta,2020,north_atlantic
Fabian,2003,north_atlantic
Felix,2007,north_atlantic
Fifi,1974,north_atlantic
Fiona,2022,north_atlantic
Flora,1963,north_atlantic
Florence,2018,north_atlantic
Floyd,1999,north_atlantic
Fran,1996,north_atlantic
Frances,2004,north_atlantic
Frederic,1979,north_atlantic
Georges,1998,north_atlantic
Gilbert,1988,north_atlantic
Gloria,1985,north_atlantic
Greta,1978,north_atlantic
Gustav,2008,north_atlantic
Harvey,2017,north_atlantic
Hattie,1961,north_atlantic
Hazel,1954,north_atlantic
Hilda,1964,north_atlantic
Hortense,1996,north_atlantic
Hugo,1989,north_atlantic
Ian,2022,north_atlantic
Ida,2021,north_atlantic
Igor,2010,north_atlantic
Ike,2008,north_atlantic
Inez,1966,north_atlantic
Ingrid,2013,north_atlantic
Ione,1955,north_atlantic
Iota,2020,north_atlantic
Irene,2011,north_atlantic
Iris,2001,north_atlantic
Irma,2017,north_atlantic
Isabel,2003,north_atlantic
Isidore,2002,north_atlantic
Ivan,2004,north_atlantic
Janet,1955,north_atlantic
Jeanne,2004,north_atlantic
Joan,1988,north_atlantic
Joaquin,2015,north_atlantic
Juan,2003,north_atlantic
Katrina,2005,north_atlantic
Keith,2000,north_atlantic
Klaus,1990,north_atlantic
Laura,2020,north_atlantic
Lenny,1999,north_atlantic
Lili,2002,north_atlantic
Luis,1995,north_atlantic
Maria,2017,north_atlantic
Marilyn,1995,north_atlantic
Matthew,2016,north_atlantic
Michael,2018,north_atlantic
Michelle,2001,north_atlantic
Mitch,1998,north_atlantic
Nate,2017,north_atlantic
Noel,2007,north_atlantic
Opal,1995,north_atlantic
Otto,2016,north_atlantic
Paloma,2008,north_atlantic
Rita,2005,north_atlantic
Roxanne,1995,north_atlantic
Sandy,2012,north_atlantic
Stan,2005,north_atlantic
Tomas,2010,north_atlantic
Wilma,2005,north_atlantic
Adele,1970,east_pacific
Adolph,2001,east_pacific
Alma,2008,east_pacific
Fefa,1991,east_pacific
Fico,1978,east_pacific
Hazel,1965,east_pacific
Ioke,2006,east_pacific
Isis,2004,east_pacific
Ismael,1995,east_pacific
Iniki,1992,east_pacific
Iva,1988,east_pacific
Iwa,1982,east_pacific
Kenna,2002,east_pacific
Knut,1987,east_pacific
Manuel,2013,east_pacific
Odile,2014,east_pacific
Paka,1997,east_pacific
Patricia,2015,east_pacific
Pauline,1997,east_pacific
