EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5667146,HOUSTON (ZONE), ,09/02/1998,2100,Tropical Storm, , ,0,0,10000,0,AL,EST, ,2149864,Z,69,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,1800, , , , ,"","Tropical Storm Earl moved northeastward across Southwest and Central Georgia.  Rainfall amounts varied from two to four inches.  Peak wind gusts of 40 mph were recorded at Ozark and Enterprise, AL. 

Throughout Coffee, Dale, Henry, and Houston counties, numerous reports of minor damage caused by downed trees and power lines with scattered outages.  Geneva County officials reported wind damage to a few businesses in Slocomb, AL.  CR 28 was temporarily closed to fallen trees and power lines.",1
5667145,HENRY (ZONE), ,09/02/1998,2100,Tropical Storm, , ,0,0,10000,0,AL,EST, ,2149864,Z,67,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,1800, , , , ,"","Tropical Storm Earl moved northeastward across Southwest and Central Georgia.  Rainfall amounts varied from two to four inches.  Peak wind gusts of 40 mph were recorded at Ozark and Enterprise, AL. 

Throughout Coffee, Dale, Henry, and Houston counties, numerous reports of minor damage caused by downed trees and power lines with scattered outages.  Geneva County officials reported wind damage to a few businesses in Slocomb, AL.  CR 28 was temporarily closed to fallen trees and power lines.",2
5667144,GENEVA (ZONE), ,09/02/1998,2100,Tropical Storm, , ,0,0,75000,0,AL,EST, ,2149864,Z,68,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,1800, , , , ,"","Tropical Storm Earl moved northeastward across Southwest and Central Georgia.  Rainfall amounts varied from two to four inches.  Peak wind gusts of 40 mph were recorded at Ozark and Enterprise, AL. 

Throughout Coffee, Dale, Henry, and Houston counties, numerous reports of minor damage caused by downed trees and power lines with scattered outages.  Geneva County officials reported wind damage to a few businesses in Slocomb, AL.  CR 28 was temporarily closed to fallen trees and power lines.",3
5667143,DALE (ZONE), ,09/02/1998,2100,Tropical Storm, , ,0,0,15000,0,AL,EST, ,2149864,Z,66,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,1800, , , , ,"","Tropical Storm Earl moved northeastward across Southwest and Central Georgia.  Rainfall amounts varied from two to four inches.  Peak wind gusts of 40 mph were recorded at Ozark and Enterprise, AL. 

Throughout Coffee, Dale, Henry, and Houston counties, numerous reports of minor damage caused by downed trees and power lines with scattered outages.  Geneva County officials reported wind damage to a few businesses in Slocomb, AL.  CR 28 was temporarily closed to fallen trees and power lines.",4
5667142,COFFEE (ZONE), ,09/02/1998,2100,Tropical Storm, , ,0,0,10000,0,AL,EST, ,2149864,Z,65,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,1800, , , , ,"","Tropical Storm Earl moved northeastward across Southwest and Central Georgia.  Rainfall amounts varied from two to four inches.  Peak wind gusts of 40 mph were recorded at Ozark and Enterprise, AL. 

Throughout Coffee, Dale, Henry, and Houston counties, numerous reports of minor damage caused by downed trees and power lines with scattered outages.  Geneva County officials reported wind damage to a few businesses in Slocomb, AL.  CR 28 was temporarily closed to fallen trees and power lines.",5
5156678,LOWER BALDWIN (ZONE), ,09/21/2000,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1103069,Z,64,MOB,0,0,NEWSPAPER, , , , , , , , ,09/22/2000,900, , , , ,"","Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf.",6
5156679,LOWER MOBILE (ZONE), ,09/21/2000,900,Tropical Storm, , ,0,0,10000,0,AL,CST, ,1103069,Z,63,MOB,0,0,NEWSPAPER, , , , , , , , ,09/22/2000,900, , , , ,"","Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf.",7
5156681,UPPER MOBILE (ZONE), ,09/21/2000,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1103069,Z,61,MOB,0,0,NEWSPAPER, , , , , , , , ,09/22/2000,900, , , , ,"","Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf.",8
5156680,UPPER BALDWIN (ZONE), ,09/21/2000,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1103069,Z,62,MOB,0,0,NEWSPAPER, , , , , , , , ,09/22/2000,900, , , , ,"","Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf.",9
5264847,LOWER BALDWIN (ZONE), ,08/04/2001,900,Tropical Storm, , ,0,0,40000,0,AL,CST, ,1121902,Z,64,MOB,0,0,NEWSPAPER, , , , , , , , ,08/05/2001,2300, , , , ,"","Tropical Storm Barry affected the area on the 4th and 5th.  Coastal Alabama was put under a Tropical Storm Watch at 900 am on August 4.  The watch was upgraded to a Tropical Storm Warning at 300 pm on August 4 and to a Hurricane Warning at 700 am on August 5.  The Hurricane Warning was lowered to a Tropical Storm Warning at 900 pm on August 5 and dropped at 1100 pm on August 5.  Most of the damage along coastal Alabama was minor beach erosion.  The new berm on Dauphin Island, built to protect homes against storm surge, had a twenty foot section of the berm washed away.  Storm surge in coastal Mobile and Baldwin counties was estimated at 1 to 2 feet.  The highest wind speed measured in the area was a gust of 35 mph at the Mobile Regional Airport.  Very little rain fell over coastal Alabama with Brookley getting about three-quarters of an inch.",10
