EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
135347,NORTHERN FAIRFIELD (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,5,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Northern Fairfield County from Tropical Storm Hanna. A wind gust of 27 kt (31 mph) was reported at Danbury. Rainfall amounts ranged from 5.22 inches at Danbury Airport to 6.22 inches at Danbury.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",1
135353,SOUTHERN FAIRFIELD (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,9,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Southern Fairfield County from Tropical Storm Hanna. A wind gust of 33 kt. (38 mph) occurred at Bridgeport Airport. Rainfall amounts ranged from 2.90 inches at the Bridgeport Airport to 6.45 inches at New Canaan.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",2
135354,SOUTHERN MIDDLESEX (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,11,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Southern Middlesex County from Tropical Storm Hanna. A rainfall amount of 3.86 inches was reported at Clinton.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",3
135348,NORTHERN MIDDLESEX (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,7,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Northern Middlesex County from Tropical Storm Hanna.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",4
135349,NORTHERN NEW HAVEN (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,6,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Northern New Haven County from Tropical Storm Hanna. Reported wind gusts ranged from 30 kt (34 mph) at Oxford Airport to 34 kt (39 mph) at Meriden. Rainfall amounts ranged from 3.89 inches at Meriden Airport to 4.32 inches at Oxford Airport.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",5
135352,NORTHERN NEW LONDON (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,8,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Northern New London County from Tropical Storm Hanna. A wind gust of 33 kt. (38 mph) occurred at North Stonington. Rainfall amounts ranged from 3.20 inches at the Automated Flood Warning System gauge at Norwich to 3.97 inches at Lisbon.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",6
135356,SOUTHERN NEW HAVEN (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,10,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Southern New Haven County from Tropical Storm Hanna. A wind gust of 30 kt. (35 mph) was recorded at New Haven Airport. A rainfall amount of 3.31 inches was reported at New Haven Airport.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",7
135357,SOUTHERN NEW LONDON (ZONE), ,09/06/2008,1400,Tropical Storm, , ,0,0,4000,0,CT,EST-5, ,23194,Z,12,OKX,0,0,Newspaper, , , , , , , , ,09/07/2008,500, , , , ,"Scattered trees were reported down in Southern New London County from Tropical Storm Hanna. Reported wind gusts ranged from 34 kt. (39 mph) at Groton Airport to 36 kt. (41 mph) at Niantic. Rainfall reports ranged from 2.76 inches at Groton Airport to 3.17 inches at Old Lyme.","Tropical Storm Hanna impacted Southern Connecticut, making landfall near the Nassau/Suffolk County border around 10:35 pm on the 6th. Storm total rainfall ranged from 2.76 inches at Groton Airport to 6.45 inches at New Canaan. The highest sustained wind of 25 knots (29 mph) was reported in Bridgeport with the highest peak gust of 34 knots (39 mph) measured at Groton Airport. The lowest sea-level pressure was 996 mb. at Groton Airport. Coastal storm tides of 2 feet or less above astronomical tide levels were common. Near the coast, as well as inland, only scattered trees were reported down due to the wind, causing minor damage. No fatalities or injuries were attributed to the winds. All of the associated effects of Hanna resulted in an estimated $32,000 in property damage, and a minimal amount of crop damage. One person was killed due to flash flooding.",8
348801,SOUTHERN FAIRFIELD (ZONE), ,08/28/2011,300,Tropical Storm, , ,0,0,0,0,CT,EST-5, ,57942,Z,9,OKX,0,0,Official NWS Observations, , , , , , , , ,08/28/2011,331, , , , ,"The maximum sustained winds meaasured by the ASOS at Sikorsky Airport in Bridgeport were east at 40 knots.  The peak gust was northeast at 55 knots.","As Hurricane Irene moved north along the Atlantic coast and interacted with land, it weakened and made its second landfall as a Tropical Storm near Little Egg Inlet along the southeast NJ Coast on August 28, 2011 around 5:35 am EDT.  Tropical Storm Irene made its third landfall in New York City around 9:00 am.||Irene brought sustained tropical storm winds, heavy rain, and destructive storm surge.||One death and two injuries resulted from high winds:||1 woman was struck by a fallen power line in Prospect (New Haven County)||2 fire fighters were ���shocked��� by fallen power lines as they tried to rescue the woman in Prospect||Approximately 15,000 people evacuated from storm surge along the CT shores of Long Island Sound where a state voluntary evacuation was in effect.  ||Preliminary damage cost estimates included $150-200 million for Individual Assistance covered by Insurance and $40-50 million for Public Assistance.||The number of power outages state wide peaked around 900,000 outages.  The state lost around 3 percent of their tree population.",9
345194,TOLLAND (ZONE), ,08/28/2011,549,Tropical Storm, , ,0,0,20000000,0,CT,EST-5, ,57534,Z,3,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,800, , , , ,"Trees were downed in Tolland (Robin Circle), Rockville, and Bolton (Route 534, Birch Mountain Road), several falling onto houses.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $60M in property damages and inland flooding resulted in 1 fatality and $8M in property damages. ||Bunnell Brook in Burlington had its third worst flood on record.  The Farmington River reached its highest levels since Tropical Storms Connie and Diane in 1955.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",10
