EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5562638,KENT (ZONE), ,07/13/1996,200,Tropical Storm, , ,0,0,0,0,DE,EST, ,2048121,Z,2,PHI,0,0, , , , , , , , , ,07/13/1996,1200, , , , ,"","A weakening Tropical Storm Bertha passed across the state on July 13th.  Hurricane Bertha made landfall near Wilmington North Carolina close to 5 p.m. EDT on the 12th and moved northnortheast overnight.  At 11 p.m. EDT it was 100 miles southwest of Norfolk, at 3 a.m. EDT on the 13th it was 45 miles westsouthwest of Norfolk, at 8 a.m. EDT it was 45 miles south of Dover, at 930 a.m. EDT it was in extreme northeastern Sussex County and at 11 a.m. EDT it was near Atlantic City.

While the long trip over land did weakened Bertha, some wind related damage did occur in Sussex and Kent Counties.  The only tidal flooding was minor and occurred on Delaware State Route 54 near Fenwick Island, one of the most flood roads in the state.  Beach erosion was minor.  The tropical storm did drop between 1.5 and 3.0 inches of rain across most of the state, with locally higher amounts of around 4 inches reported by SKYWARN Spotters in Sussex County.  This caused some poor drainage flooding, but the only river to flood was the Christina in New Castle County.  Wind gusts reached 58 mph in Dover and 55 mph in Lewes.  The strongest winds occurred between 4 a.m. and 10 a.m. EDT. Power was lost for up to 8 hours by 3,200 homes in the state; most were restored by noon EDT. 

Even two days before Bertha arrived rough surf resulted in 40 water rescues at Bethany Beach on the 11th.  Seashore state campgrounds were closed and shelters were set up, but less than 100 persons used them.  In Bethany Beach, a few poles were snapped and tree limbs came down.  A Subway sign was blown away in Seaside Village.  

Elsewhere, there was minor wind damage reported in Kent and Sussex Counties with storage sheds suffering the most harm.  Many were thrown around.  Some of the worst wind related damage occurred in northwestern parts of Kent County around Clayton and Blackiston.  In Clayton, downed trees blocked three roads.  The roof was blown off one house and the porch roof was blown off another.  Several poles were also knocked down.  Flying debris caused damage to several other garages, homes and porches.  Near Blackiston a 40 foot by 80 foot storage shed was destroyed.  No injuries were reported.",1
5562640,DELAWARE BEACHES (ZONE), ,07/13/1996,200,Tropical Storm, , ,0,0,0,0,DE,EST, ,2048121,Z,4,PHI,0,0, , , , , , , , , ,07/13/1996,1200, , , , ,"","A weakening Tropical Storm Bertha passed across the state on July 13th.  Hurricane Bertha made landfall near Wilmington North Carolina close to 5 p.m. EDT on the 12th and moved northnortheast overnight.  At 11 p.m. EDT it was 100 miles southwest of Norfolk, at 3 a.m. EDT on the 13th it was 45 miles westsouthwest of Norfolk, at 8 a.m. EDT it was 45 miles south of Dover, at 930 a.m. EDT it was in extreme northeastern Sussex County and at 11 a.m. EDT it was near Atlantic City.

While the long trip over land did weakened Bertha, some wind related damage did occur in Sussex and Kent Counties.  The only tidal flooding was minor and occurred on Delaware State Route 54 near Fenwick Island, one of the most flood roads in the state.  Beach erosion was minor.  The tropical storm did drop between 1.5 and 3.0 inches of rain across most of the state, with locally higher amounts of around 4 inches reported by SKYWARN Spotters in Sussex County.  This caused some poor drainage flooding, but the only river to flood was the Christina in New Castle County.  Wind gusts reached 58 mph in Dover and 55 mph in Lewes.  The strongest winds occurred between 4 a.m. and 10 a.m. EDT. Power was lost for up to 8 hours by 3,200 homes in the state; most were restored by noon EDT. 

Even two days before Bertha arrived rough surf resulted in 40 water rescues at Bethany Beach on the 11th.  Seashore state campgrounds were closed and shelters were set up, but less than 100 persons used them.  In Bethany Beach, a few poles were snapped and tree limbs came down.  A Subway sign was blown away in Seaside Village.  

Elsewhere, there was minor wind damage reported in Kent and Sussex Counties with storage sheds suffering the most harm.  Many were thrown around.  Some of the worst wind related damage occurred in northwestern parts of Kent County around Clayton and Blackiston.  In Clayton, downed trees blocked three roads.  The roof was blown off one house and the porch roof was blown off another.  Several poles were also knocked down.  Flying debris caused damage to several other garages, homes and porches.  Near Blackiston a 40 foot by 80 foot storage shed was destroyed.  No injuries were reported.",2
5562639,INLAND SUSSEX (ZONE), ,07/13/1996,200,Tropical Storm, , ,0,0,0,0,DE,EST, ,2048121,Z,3,PHI,0,0, , , , , , , , , ,07/13/1996,1200, , , , ,"","A weakening Tropical Storm Bertha passed across the state on July 13th.  Hurricane Bertha made landfall near Wilmington North Carolina close to 5 p.m. EDT on the 12th and moved northnortheast overnight.  At 11 p.m. EDT it was 100 miles southwest of Norfolk, at 3 a.m. EDT on the 13th it was 45 miles westsouthwest of Norfolk, at 8 a.m. EDT it was 45 miles south of Dover, at 930 a.m. EDT it was in extreme northeastern Sussex County and at 11 a.m. EDT it was near Atlantic City.

While the long trip over land did weakened Bertha, some wind related damage did occur in Sussex and Kent Counties.  The only tidal flooding was minor and occurred on Delaware State Route 54 near Fenwick Island, one of the most flood roads in the state.  Beach erosion was minor.  The tropical storm did drop between 1.5 and 3.0 inches of rain across most of the state, with locally higher amounts of around 4 inches reported by SKYWARN Spotters in Sussex County.  This caused some poor drainage flooding, but the only river to flood was the Christina in New Castle County.  Wind gusts reached 58 mph in Dover and 55 mph in Lewes.  The strongest winds occurred between 4 a.m. and 10 a.m. EDT. Power was lost for up to 8 hours by 3,200 homes in the state; most were restored by noon EDT. 

Even two days before Bertha arrived rough surf resulted in 40 water rescues at Bethany Beach on the 11th.  Seashore state campgrounds were closed and shelters were set up, but less than 100 persons used them.  In Bethany Beach, a few poles were snapped and tree limbs came down.  A Subway sign was blown away in Seaside Village.  

Elsewhere, there was minor wind damage reported in Kent and Sussex Counties with storage sheds suffering the most harm.  Many were thrown around.  Some of the worst wind related damage occurred in northwestern parts of Kent County around Clayton and Blackiston.  In Clayton, downed trees blocked three roads.  The roof was blown off one house and the porch roof was blown off another.  Several poles were also knocked down.  Flying debris caused damage to several other garages, homes and porches.  Near Blackiston a 40 foot by 80 foot storage shed was destroyed.  No injuries were reported.",3
5372313,DELAWARE BEACHES (ZONE), ,09/18/2003,1500,Tropical Storm, , ,0,0,1250000,0,DE,EST, ,1162632,Z,4,PHI,0,0,EMERGENCY MANAGER, , , , , , , , ,09/19/2003,500, , , , ,"","Tropical Storm Isabel caused tidal flooding up Delaware Bay, heavy rain and strong power outage producing winds. Isabel made landfall as a hurricane near Drum Inlet, North Carolina around 100 p.m. EDT on the 18th and weakened as it tracked farther inland. At one time in its life cycle, it was a powerful Category 5 hurricane when it was north of the Leewood Islands. Isabel's track took it west of Chesapeake Bay and was able to funnel water into the bay. This caused flooding along coastal areas all the way into New Castle County. Rivers and streams in New Castle County flooded from two fronts: from the heavy rain inland and also from the storm surge. The tide at Reedy Point reached 8.66 feet above mean lower low water at 506 a.m. EDT on the 19th. The surge was about 5 feet. The surge funneled up the bay and was lower and occurred earlier close to the coast. The highest tide at Lewes (Sussex County) was 6.51 feet above mean lower low water at 324 p.m. EDT on the 18th. The heavy rain did not coincide with the tidal flooding and occurred mainly from the afternoon of the 18th into the early morning of the 19th. Nevertheless, runoff from streams in New Castle County were slowed because of the incoming storm surge. While tides barely reached minor tidal levels along the ocean, the wave action on top of the tide caused beach erosion. Dunes were breached on the ocean front south of South Bethany and water overwashed onto Delaware State Route 1 in several locations. Winds gusted up to 70 mph and caused numerous trees, tree limbs and power lines to be knocked down. This was one of the worst power outage events in history for Conectiv Energy.  

The Christina River at Coochs Bridge (New Castle County) was above its 9 foot flood stage from 927 p.m. EDT on the 18th through 612 a.m. EDT on the 19th. It crested at 11.38 feet at 115 a.m. EDT on the 19th. The Red Clay Creek at Wooddale was above its 5.5 foot flood stage from 106 a.m. EDT through 728 a.m. EDT on the 19th. It crested at 5.87 feet at 430 a.m. EDT on the 19th. Peak wind gusts included 70 mph at the Pilot Tower (Sussex County), 62 mph in Lewes (Sussex County), 61 mph at the Dover Air Force Base (Kent County), 60 mph in Georgetown (Sussex County) and 53 mph at both Bear (New Castle County) and the New Castle County Airport. Storm totals included 1.88 inches in Greenwood (Sussex County), 1.74 inches in Georgetown (Sussex County), 1.46 inches at the New Castle County Airport, 1.35 inches in Milford (Kent County) and 1.00 at the Dover Air Force Base (Kent County).",4
5372314,INLAND SUSSEX (ZONE), ,09/18/2003,1500,Tropical Storm, , ,0,0,8000000,0,DE,EST, ,1162632,Z,3,PHI,0,0,EMERGENCY MANAGER, , , , , , , , ,09/19/2003,500, , , , ,"","Tropical Storm Isabel caused tidal flooding up Delaware Bay, heavy rain and strong power outage producing winds. Isabel made landfall as a hurricane near Drum Inlet, North Carolina around 100 p.m. EDT on the 18th and weakened as it tracked farther inland. At one time in its life cycle, it was a powerful Category 5 hurricane when it was north of the Leewood Islands. Isabel's track took it west of Chesapeake Bay and was able to funnel water into the bay. This caused flooding along coastal areas all the way into New Castle County. Rivers and streams in New Castle County flooded from two fronts: from the heavy rain inland and also from the storm surge. The tide at Reedy Point reached 8.66 feet above mean lower low water at 506 a.m. EDT on the 19th. The surge was about 5 feet. The surge funneled up the bay and was lower and occurred earlier close to the coast. The highest tide at Lewes (Sussex County) was 6.51 feet above mean lower low water at 324 p.m. EDT on the 18th. The heavy rain did not coincide with the tidal flooding and occurred mainly from the afternoon of the 18th into the early morning of the 19th. Nevertheless, runoff from streams in New Castle County were slowed because of the incoming storm surge. While tides barely reached minor tidal levels along the ocean, the wave action on top of the tide caused beach erosion. Dunes were breached on the ocean front south of South Bethany and water overwashed onto Delaware State Route 1 in several locations. Winds gusted up to 70 mph and caused numerous trees, tree limbs and power lines to be knocked down. This was one of the worst power outage events in history for Conectiv Energy.  

The Christina River at Coochs Bridge (New Castle County) was above its 9 foot flood stage from 927 p.m. EDT on the 18th through 612 a.m. EDT on the 19th. It crested at 11.38 feet at 115 a.m. EDT on the 19th. The Red Clay Creek at Wooddale was above its 5.5 foot flood stage from 106 a.m. EDT through 728 a.m. EDT on the 19th. It crested at 5.87 feet at 430 a.m. EDT on the 19th. Peak wind gusts included 70 mph at the Pilot Tower (Sussex County), 62 mph in Lewes (Sussex County), 61 mph at the Dover Air Force Base (Kent County), 60 mph in Georgetown (Sussex County) and 53 mph at both Bear (New Castle County) and the New Castle County Airport. Storm totals included 1.88 inches in Greenwood (Sussex County), 1.74 inches in Georgetown (Sussex County), 1.46 inches at the New Castle County Airport, 1.35 inches in Milford (Kent County) and 1.00 at the Dover Air Force Base (Kent County).",5
5372315,KENT (ZONE), ,09/18/2003,1500,Tropical Storm, , ,0,0,8500000,0,DE,EST, ,1162632,Z,2,PHI,0,0,EMERGENCY MANAGER, , , , , , , , ,09/19/2003,500, , , , ,"","Tropical Storm Isabel caused tidal flooding up Delaware Bay, heavy rain and strong power outage producing winds. Isabel made landfall as a hurricane near Drum Inlet, North Carolina around 100 p.m. EDT on the 18th and weakened as it tracked farther inland. At one time in its life cycle, it was a powerful Category 5 hurricane when it was north of the Leewood Islands. Isabel's track took it west of Chesapeake Bay and was able to funnel water into the bay. This caused flooding along coastal areas all the way into New Castle County. Rivers and streams in New Castle County flooded from two fronts: from the heavy rain inland and also from the storm surge. The tide at Reedy Point reached 8.66 feet above mean lower low water at 506 a.m. EDT on the 19th. The surge was about 5 feet. The surge funneled up the bay and was lower and occurred earlier close to the coast. The highest tide at Lewes (Sussex County) was 6.51 feet above mean lower low water at 324 p.m. EDT on the 18th. The heavy rain did not coincide with the tidal flooding and occurred mainly from the afternoon of the 18th into the early morning of the 19th. Nevertheless, runoff from streams in New Castle County were slowed because of the incoming storm surge. While tides barely reached minor tidal levels along the ocean, the wave action on top of the tide caused beach erosion. Dunes were breached on the ocean front south of South Bethany and water overwashed onto Delaware State Route 1 in several locations. Winds gusted up to 70 mph and caused numerous trees, tree limbs and power lines to be knocked down. This was one of the worst power outage events in history for Conectiv Energy.  

The Christina River at Coochs Bridge (New Castle County) was above its 9 foot flood stage from 927 p.m. EDT on the 18th through 612 a.m. EDT on the 19th. It crested at 11.38 feet at 115 a.m. EDT on the 19th. The Red Clay Creek at Wooddale was above its 5.5 foot flood stage from 106 a.m. EDT through 728 a.m. EDT on the 19th. It crested at 5.87 feet at 430 a.m. EDT on the 19th. Peak wind gusts included 70 mph at the Pilot Tower (Sussex County), 62 mph in Lewes (Sussex County), 61 mph at the Dover Air Force Base (Kent County), 60 mph in Georgetown (Sussex County) and 53 mph at both Bear (New Castle County) and the New Castle County Airport. Storm totals included 1.88 inches in Greenwood (Sussex County), 1.74 inches in Georgetown (Sussex County), 1.46 inches at the New Castle County Airport, 1.35 inches in Milford (Kent County) and 1.00 at the Dover Air Force Base (Kent County).",6
135552,INLAND SUSSEX (ZONE), ,09/06/2008,1000,Tropical Storm, , ,0,0,0,0,DE,EST-5, ,21777,Z,3,PHI,0,0,Mesonet, , , , , , , , ,09/06/2008,1600, , , , ,"","Tropical Storm Hanna brought heavy rain and strong winds in Delaware and some minor tidal flooding in Delaware Bay on the 6th. Rain moved into the region during the morning, fell heavy at times in the afternoon and ended during the early evening. Storm totals ranged from around 1 to around 3.5 inches with the highest amounts in New Castle County. The strongest winds occurred during the late morning and afternoon with peak gusts as high as 53 mph. About 10,000 homes and businesses lost power on the Delmarva Peninsula. All power was restored by the 7th. Minor tidal flooding occurred in Delaware Bay during the afternoon as the surge averaged two to three feet. Many planned outdoor activities were cancelled.  ||The heavy rain caused minor roadway and low lying area flooding. The unseasonably dry weather leading into Hanna prevented stream and river flooding from occurring. The pounding surf caused about a three foot vertical cut to occur at Rehoboth Beach.  ||Peak wind gusts included 53 mph in Slaughter Beach (Sussex County), 45  mph in Lewes (Sussex County), 44 mph in Indian River (Sussex County) and Dover (Kent County), 38 mph at Rehoboth Beach and 33 mph at the New Castle County Airport. Precipitation totals included 3.69 inches in Newark (New Castle County), 3.33 inches in Glasgow (New Castle County), 3.32 inches at the New Castle County Airport, 2.07 inches in Georgetown (Sussex County), 2.04 inches in Rehoboth Beach (Sussex County), 1.77 inches in Milford (Sussex County), 1.53 inches in Smyrna (Kent County) and 1.25 inches in Dover (Kent County). The high tide at Reedys Point (New Castle County) peaked at 7.22 feet above mean lower low water at 524 p.m. EDT on the 6th. Minor tidal flooding starts at 7.2 feet above mean lower low water. ||Tropical Storm Hanna made landfall at about 320 a.m. EDT on September 6th near the border of North and South Carolina. The tropical storm proceeded to move northeast. At 8 a.m. EDT, Hanna was near Goldsboro, North Carolina; at 11 a.m. EDT just southeast of Emporia, Virginia; at 2 p.m. EDT near Williamsburg, Virginia, at 5 p.m. EDT in Dorchester County, Maryland. Hanna then cut across northwest Sussex County in Delaware and entered Delaware Bay and made landfall in New Jersey close to 7 p.m. EDT in eastern Cumberland County. At 8 p.m. EDT Hanna was located in northern Atlantic County, New Jersey and exited the state near Island Beach State Park in Ocean County. At 11 p.m. EDT, Hanna was about to make landfall in western Suffolk County in New York State. Hanna continued to move northeast through eastern Long Island and New England overnight on the 6th.",7
135553,KENT (ZONE), ,09/06/2008,1000,Tropical Storm, , ,0,0,0,0,DE,EST-5, ,21777,Z,2,PHI,0,0,Mesonet, , , , , , , , ,09/06/2008,1600, , , , ,"","Tropical Storm Hanna brought heavy rain and strong winds in Delaware and some minor tidal flooding in Delaware Bay on the 6th. Rain moved into the region during the morning, fell heavy at times in the afternoon and ended during the early evening. Storm totals ranged from around 1 to around 3.5 inches with the highest amounts in New Castle County. The strongest winds occurred during the late morning and afternoon with peak gusts as high as 53 mph. About 10,000 homes and businesses lost power on the Delmarva Peninsula. All power was restored by the 7th. Minor tidal flooding occurred in Delaware Bay during the afternoon as the surge averaged two to three feet. Many planned outdoor activities were cancelled.  ||The heavy rain caused minor roadway and low lying area flooding. The unseasonably dry weather leading into Hanna prevented stream and river flooding from occurring. The pounding surf caused about a three foot vertical cut to occur at Rehoboth Beach.  ||Peak wind gusts included 53 mph in Slaughter Beach (Sussex County), 45  mph in Lewes (Sussex County), 44 mph in Indian River (Sussex County) and Dover (Kent County), 38 mph at Rehoboth Beach and 33 mph at the New Castle County Airport. Precipitation totals included 3.69 inches in Newark (New Castle County), 3.33 inches in Glasgow (New Castle County), 3.32 inches at the New Castle County Airport, 2.07 inches in Georgetown (Sussex County), 2.04 inches in Rehoboth Beach (Sussex County), 1.77 inches in Milford (Sussex County), 1.53 inches in Smyrna (Kent County) and 1.25 inches in Dover (Kent County). The high tide at Reedys Point (New Castle County) peaked at 7.22 feet above mean lower low water at 524 p.m. EDT on the 6th. Minor tidal flooding starts at 7.2 feet above mean lower low water. ||Tropical Storm Hanna made landfall at about 320 a.m. EDT on September 6th near the border of North and South Carolina. The tropical storm proceeded to move northeast. At 8 a.m. EDT, Hanna was near Goldsboro, North Carolina; at 11 a.m. EDT just southeast of Emporia, Virginia; at 2 p.m. EDT near Williamsburg, Virginia, at 5 p.m. EDT in Dorchester County, Maryland. Hanna then cut across northwest Sussex County in Delaware and entered Delaware Bay and made landfall in New Jersey close to 7 p.m. EDT in eastern Cumberland County. At 8 p.m. EDT Hanna was located in northern Atlantic County, New Jersey and exited the state near Island Beach State Park in Ocean County. At 11 p.m. EDT, Hanna was about to make landfall in western Suffolk County in New York State. Hanna continued to move northeast through eastern Long Island and New England overnight on the 6th.",8
135554,NEW CASTLE (ZONE), ,09/06/2008,1000,Tropical Storm, , ,0,0,0,0,DE,EST-5, ,21777,Z,1,PHI,0,0,Mesonet, , , , , , , , ,09/06/2008,1600, , , , ,"","Tropical Storm Hanna brought heavy rain and strong winds in Delaware and some minor tidal flooding in Delaware Bay on the 6th. Rain moved into the region during the morning, fell heavy at times in the afternoon and ended during the early evening. Storm totals ranged from around 1 to around 3.5 inches with the highest amounts in New Castle County. The strongest winds occurred during the late morning and afternoon with peak gusts as high as 53 mph. About 10,000 homes and businesses lost power on the Delmarva Peninsula. All power was restored by the 7th. Minor tidal flooding occurred in Delaware Bay during the afternoon as the surge averaged two to three feet. Many planned outdoor activities were cancelled.  ||The heavy rain caused minor roadway and low lying area flooding. The unseasonably dry weather leading into Hanna prevented stream and river flooding from occurring. The pounding surf caused about a three foot vertical cut to occur at Rehoboth Beach.  ||Peak wind gusts included 53 mph in Slaughter Beach (Sussex County), 45  mph in Lewes (Sussex County), 44 mph in Indian River (Sussex County) and Dover (Kent County), 38 mph at Rehoboth Beach and 33 mph at the New Castle County Airport. Precipitation totals included 3.69 inches in Newark (New Castle County), 3.33 inches in Glasgow (New Castle County), 3.32 inches at the New Castle County Airport, 2.07 inches in Georgetown (Sussex County), 2.04 inches in Rehoboth Beach (Sussex County), 1.77 inches in Milford (Sussex County), 1.53 inches in Smyrna (Kent County) and 1.25 inches in Dover (Kent County). The high tide at Reedys Point (New Castle County) peaked at 7.22 feet above mean lower low water at 524 p.m. EDT on the 6th. Minor tidal flooding starts at 7.2 feet above mean lower low water. ||Tropical Storm Hanna made landfall at about 320 a.m. EDT on September 6th near the border of North and South Carolina. The tropical storm proceeded to move northeast. At 8 a.m. EDT, Hanna was near Goldsboro, North Carolina; at 11 a.m. EDT just southeast of Emporia, Virginia; at 2 p.m. EDT near Williamsburg, Virginia, at 5 p.m. EDT in Dorchester County, Maryland. Hanna then cut across northwest Sussex County in Delaware and entered Delaware Bay and made landfall in New Jersey close to 7 p.m. EDT in eastern Cumberland County. At 8 p.m. EDT Hanna was located in northern Atlantic County, New Jersey and exited the state near Island Beach State Park in Ocean County. At 11 p.m. EDT, Hanna was about to make landfall in western Suffolk County in New York State. Hanna continued to move northeast through eastern Long Island and New England overnight on the 6th.",9
135551,DELAWARE BEACHES (ZONE), ,09/06/2008,1000,Tropical Storm, , ,0,0,0,0,DE,EST-5, ,21777,Z,4,PHI,0,0,Mesonet, , , , , , , , ,09/06/2008,1600, , , , ,"","Tropical Storm Hanna brought heavy rain and strong winds in Delaware and some minor tidal flooding in Delaware Bay on the 6th. Rain moved into the region during the morning, fell heavy at times in the afternoon and ended during the early evening. Storm totals ranged from around 1 to around 3.5 inches with the highest amounts in New Castle County. The strongest winds occurred during the late morning and afternoon with peak gusts as high as 53 mph. About 10,000 homes and businesses lost power on the Delmarva Peninsula. All power was restored by the 7th. Minor tidal flooding occurred in Delaware Bay during the afternoon as the surge averaged two to three feet. Many planned outdoor activities were cancelled.  ||The heavy rain caused minor roadway and low lying area flooding. The unseasonably dry weather leading into Hanna prevented stream and river flooding from occurring. The pounding surf caused about a three foot vertical cut to occur at Rehoboth Beach.  ||Peak wind gusts included 53 mph in Slaughter Beach (Sussex County), 45  mph in Lewes (Sussex County), 44 mph in Indian River (Sussex County) and Dover (Kent County), 38 mph at Rehoboth Beach and 33 mph at the New Castle County Airport. Precipitation totals included 3.69 inches in Newark (New Castle County), 3.33 inches in Glasgow (New Castle County), 3.32 inches at the New Castle County Airport, 2.07 inches in Georgetown (Sussex County), 2.04 inches in Rehoboth Beach (Sussex County), 1.77 inches in Milford (Sussex County), 1.53 inches in Smyrna (Kent County) and 1.25 inches in Dover (Kent County). The high tide at Reedys Point (New Castle County) peaked at 7.22 feet above mean lower low water at 524 p.m. EDT on the 6th. Minor tidal flooding starts at 7.2 feet above mean lower low water. ||Tropical Storm Hanna made landfall at about 320 a.m. EDT on September 6th near the border of North and South Carolina. The tropical storm proceeded to move northeast. At 8 a.m. EDT, Hanna was near Goldsboro, North Carolina; at 11 a.m. EDT just southeast of Emporia, Virginia; at 2 p.m. EDT near Williamsburg, Virginia, at 5 p.m. EDT in Dorchester County, Maryland. Hanna then cut across northwest Sussex County in Delaware and entered Delaware Bay and made landfall in New Jersey close to 7 p.m. EDT in eastern Cumberland County. At 8 p.m. EDT Hanna was located in northern Atlantic County, New Jersey and exited the state near Island Beach State Park in Ocean County. At 11 p.m. EDT, Hanna was about to make landfall in western Suffolk County in New York State. Hanna continued to move northeast through eastern Long Island and New England overnight on the 6th.",10
