EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1021622,COASTAL INDIAN RIVER (ZONE), ,06/04/2022,100,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,168726,Z,154,MLB,0,0,Emergency Manager, , , , , , , , ,06/04/2022,1500, , , , ,"In Indian River County, sustained tropical storm force winds briefly affected the far northern barrier island, with gusts to tropical storm force in squalls that affected the rest of the county east of Interstate 95 from early morning through early afternoon on June 4. The highest sustained wind was measured at North Beach (39 mph from the southeast at 1245LST on June 4) and the peak gust was at Indian River Shores (45 mph from the east at 0850LST on June 4).","Potential Tropical Cyclone One (PTC1) developed near the Yucatan Peninsula on June 2, and tracked across the southeastern Gulf of Mexico on June 3. PTC1 crossed the southern Florida peninsula from late evening on June 3 through the late afternoon on June 2. Outer rain bands from PTC1 brought gusts to tropical storm force to the barrier islands and Intracoastal Waterway of the Treasure Coast and far southern Brevard County from late evening on June 4 through late afternoon on June 5. Sustained winds briefly reached sustained tropical storm force along the barrier island of far northern Indian River County.  There were no direct or indirect tropical storm-related fatalities, and little to no other impacts from PTC1.",1
1058261,MONROE/LOWER KEYS (ZONE), ,09/27/2022,1645,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174594,Z,78,KEY,0,0,NWS Storm Survey, , , , , , , , ,09/28/2022,630, , , , ,"Sustained tropical storm force winds occurred in the Lower Florida Keys from Key West through the Seven Mile Bridge, and were measured in the 45 to 60 mph range.  Peak gusts of 79 mph at the Key West International Airport, 68 mph at the Naval Air Station Key West Boca Chica Field, and 75 mph at an electric substation on Big Coppitt Key. Wind damage occurred in the form of scattered large tree limbs downed, with isolated uprooted or snapped trees. Scattered fences were downed in the city of Key West, with isolated building soffit and siding damage. A few commercial business signs were blown out throughout the Lower Florida Keys.  A few gas station canopies within Key West displayed fascia damage, and one gas station canopy on Stock Island exhibited foundation failure among its four posts.  Total power outages peaked near 10,000 customers in the Lower Florida Keys, representing approximately one-third of the Keys Energy service area.","Major Hurricane Ian moved north from far western Cuba into the western Straits of Florida. As Ian moved north over the Dry Tortugas and into the southeastern Gulf of Mexico from September 27th through the 28th, tropical storm force winds and damaging storm surge occurred across the Florida Keys. A secondary but lesser storm surge occurred along the Gulf of Mexico and Florida Bay side of the Lower and Middle Keys after Major Hurricane Ian moved inland the west coast of Florida, and well after tropical storm force winds had subsided.",2
1058260,MONROE/MIDDLE KEYS (ZONE), ,09/27/2022,2000,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174594,Z,77,KEY,0,0,NWS Storm Survey, , , , , , , , ,09/28/2022,400, , , , ,"Tropical storm force winds occurred in the middle Florida Keys from Marathon through Long Key.  Sustained winds ranged from 30 to 45 mph with peak gusts measured at 60 mph at the Florida Keys Marathon International Airport, and 58 mph at the Marathon High School as well as an automated weather station on the oceanside of Crawl Key.  Scattered tree limbs were downed, with power outages limited to small portions of a few neighborhoods at a time.","Major Hurricane Ian moved north from far western Cuba into the western Straits of Florida. As Ian moved north over the Dry Tortugas and into the southeastern Gulf of Mexico from September 27th through the 28th, tropical storm force winds and damaging storm surge occurred across the Florida Keys. A secondary but lesser storm surge occurred along the Gulf of Mexico and Florida Bay side of the Lower and Middle Keys after Major Hurricane Ian moved inland the west coast of Florida, and well after tropical storm force winds had subsided.",3
1058322,COASTAL BROWARD COUNTY (ZONE), ,09/27/2022,2100,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174305,Z,172,MFL,0,0,Mesonet, , , , , , , , ,09/28/2022,1500, , , , ,"Highest sustained winds were confined to very close to the coast, mainly in the 40-45 mph range. Wind gusts were in the 50-55 mph across most of coastal Broward County. Wind damage was minor and mainly to trees and fences. Estimated highest number of customers without power is 1,572.||Damage from tornadoes in Pembroke Pines and Davie are included in the individual tornado entries for this episode.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",4
1058323,COASTAL MIAMI-DADE COUNTY (ZONE), ,09/27/2022,2100,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174305,Z,173,MFL,0,0,Mesonet, , , , , , , , ,09/28/2022,1500, , , , ,"Highest sustained winds were confined to very close to the coast, mainly in the 40 mph range. Wind gusts were in the 40-55 mph across most of coastal Miami-Dade County. Wind damage was minor and mainly to trees and fences. Estimated highest number of customers without power is 5,950.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",5
1058318,COASTAL PALM BEACH COUNTY (ZONE), ,09/28/2022,100,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174305,Z,168,MFL,0,0,Mesonet, , , , , , , , ,09/28/2022,2000, , , , ,"Highest sustained winds were confined to very close to the coast, mainly in the 40-50 mph range. Wind gusts were in the 50-60 mph across most of coastal Palm Beach County. Wind damage was minor and mainly to trees and fences. Estimated highest number of customers without power is 8,110.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",6
1058259,MONROE/UPPER KEYS (ZONE), ,09/28/2022,300,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174594,Z,76,KEY,0,0,NWS Storm Survey, , , , , , , , ,09/28/2022,700, , , , ,"Tropical storm force winds occurred mainly in gusts across the upper Florida Keys from Islamorada through Ocean Reef.  Peak sustained winds were mainly in the 25 to 30 mph range, with peak gusts measured at 45 mph at Ocean Reef, and 40 mph at automated stations in Tavernier and Islamorada. Limited utility line damage occurred along with isolated downed tree limbs. Power outages were limited to small portions of a neighborhood or two at a time.","Major Hurricane Ian moved north from far western Cuba into the western Straits of Florida. As Ian moved north over the Dry Tortugas and into the southeastern Gulf of Mexico from September 27th through the 28th, tropical storm force winds and damaging storm surge occurred across the Florida Keys. A secondary but lesser storm surge occurred along the Gulf of Mexico and Florida Bay side of the Lower and Middle Keys after Major Hurricane Ian moved inland the west coast of Florida, and well after tropical storm force winds had subsided.",7
1058328,INLAND PALM BEACH COUNTY (ZONE), ,09/28/2022,700,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174305,Z,67,MFL,0,0,Mesonet, , , , , , , , ,09/28/2022,2000, , , , ,"Highest sustained winds across inland Palm Beach County were in the 35-40 mph range, with gusts of 50-60 mph. Wind damage was minor and confined to trees and fences. ||Number of customers without power for the entire county is included in the Coastal Palm Beach County event narrative.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",8
1058326,METRO PALM BEACH COUNTY (ZONE), ,09/28/2022,800,Tropical Storm, , ,0,0,0,0,FL,EST-5, ,174305,Z,68,MFL,0,0,Mesonet, , , , , , , , ,09/28/2022,2000, , , , ,"Highest sustained winds across metro Palm Beach County were in the 35-40 mph range, with gusts of 50-60 mph. Wind damage was minor and confined to trees and fences. ||Number of customers without power for the entire county is included in the Coastal Palm Beach County event narrative.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",9
1058306,COASTAL COLLIER COUNTY (ZONE), ,09/28/2022,1000,Hurricane, , ,0,0,2200000000,0,FL,EST-5, ,174305,Z,69,MFL,0,0,Mesonet, , , , , , , , ,09/28/2022,1700, , , , ,"Wind gusts of 100-110 mph were measured at about 100-150 feet above ground level over western Collier county at the Naples Grande Resort, at Kalea Bay, and at Naples Municipal Airport. Peak near-surface wind gusts were likely in the 80-90 mph range. Wind damage was mainly confined to trees/fences/screens, with minor wind damage to vulnerable structures. ||Estimated highest number of customers without power was 201,095 as of 3 PM on September 29th. ||Reported damage estimate for the entire county is $2.2 billion, which includes storm surge-related damage. Of that, $1.7 billion is to residential properties and $492 million to commercial properties. A total of 33 buildings were destroyed, with 3,515 residential and commercial buildings suffering major damage. Breakdown of damage amount by|City/area: unincorporated Collier County $948 million, city of Naples $989|Million, Marco Island $256 million, Everglades City $7.1 million.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",10
