EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5552060,COASTAL MCINTOSH (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,141,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",1
5552053,INLAND BRYAN (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,116,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",2
5552055,INLAND CHATHAM (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,118,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",3
5552054,COASTAL BRYAN (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,117,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",4
5552059,INLAND MCINTOSH (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,140,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",5
5552057,INLAND LIBERTY (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,138,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",6
5552056,COASTAL CHATHAM (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,119,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",7
5552058,COASTAL LIBERTY (ZONE), ,07/11/1996,2200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2037283,Z,139,CHS,0,0, , , , , , , , , ,07/12/1996,800, , , , ,"","Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",8
5718918,LONG (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,137,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",9
5718909,COASTAL LIBERTY (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,139,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",10
5718908,COASTAL CHATHAM (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,119,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",11
5718916,INLAND MCINTOSH (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,140,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",12
5718913,INLAND BRYAN (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,116,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",13
5718914,INLAND CHATHAM (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,118,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",14
5718906,CANDLER (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,99,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",15
5718905,BULLOCH (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,100,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",16
5718911,EFFINGHAM (ZONE), ,09/15/1999,1200,Hurricane (Typhoon), , ,0,0,0,0,GA,EST, ,2412603,Z,101,CHS,0,0,EMERGENCY MANAGER, , , , , , , , ,09/15/1999,2300, , , , ,"","Hurricane Floyd approached from the south, but turned more northeast on the afternoon of the 15th and just brushed southeast Georgia. Well over 200,000 citizens in the affected counties evacuated the area. Because Floyd turned to the northeast, damage was minimal and confined mostly to the coastal counties.  Scattered trees and a few power lines were down. Highest winds over land was 40 mph with a gust to 53 mph at the Savannah Airport. Maximum tide at Savannah was 12.39 ASL (8.69 MLLW) with a maximum departure of 3.3 feet.",17
