EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5663847,CAMERON (ZONE), ,08/21/1998,1100,Tropical Storm, , ,0,0,40000,0,LA,CST, ,2084581,Z,51,LCH,0,0,NWS STORM SURVEY, , , , , , , , ,08/22/1998,600, , , , ,"","Tropical Storm Charley caused some problems in Cameron Parish.  High tides of around 3.1 feet resulted in some beach erosion at Rutherford Beach and Constance Beach.  At Gulf Breeze Beach, at least two feet of sand was lost for a 500 yard wide stretch.  Sand dunes at Little Florida Beach and Long Beach were eroded slightly at the base of six to ten foot dunes.

Jetty Road in downtown Cameron had only minor flooding.  In Holly Beach, water rose to the second row of camps, but did not enter any of the buildings.  On Highway 82 between Holly Beach and Johnson Bayou, spray from seven foot seas caused minor flooding, but the highway was never closed.  Four jail inmates were able to clean debris within half a day using push brooms.  Five camps at Gulf Breeze Beach had water rise to the first floor, causing minor damage.  The access road to Martin Beach at Johnson Bayou was still flooded three days after the tides had decreased.

Wind gusts along the coast were between 30 and 40 knots at the height of the storm.  Between two and four inches of rain fell across Cameron Parish, but the Doppler radar indicated much more fell over the Gulf coastal waters.

No evacuations were ordered for Cameron Parish. No deaths or injuries were reported.",1
5670301,LOWER LAFOURCHE (ZONE), ,09/02/1998,100,Tropical Storm, , ,0,0,0,0,LA,CST, ,1070641,Z,67,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/02/1998,1500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane southeast of the Louisiana coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate southeast Louisiana coastline.  Peak wind gusts of 42 mph were observed on September 2nd at both the Grand Isle, Louisiana CMAN station at 1300 CST, and at a NOAA weather buoy located 20 miles south of Biloxi, MS in the coastal waters at 1500 CST. At Venice, Louisiana a maximum wind gust of 44 mph was recorded on 1219 CST on September 2.",2
5670300,LOWER ST. BERNARD (ZONE), ,09/02/1998,100,Tropical Storm, , ,0,0,0,0,LA,CST, ,1070641,Z,70,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/02/1998,1500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane southeast of the Louisiana coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate southeast Louisiana coastline.  Peak wind gusts of 42 mph were observed on September 2nd at both the Grand Isle, Louisiana CMAN station at 1300 CST, and at a NOAA weather buoy located 20 miles south of Biloxi, MS in the coastal waters at 1500 CST. At Venice, Louisiana a maximum wind gust of 44 mph was recorded on 1219 CST on September 2.",3
5670298,LOWER JEFFERSON (ZONE), ,09/02/1998,100,Tropical Storm, , ,0,0,0,0,LA,CST, ,1070641,Z,68,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/02/1998,1500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane southeast of the Louisiana coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate southeast Louisiana coastline.  Peak wind gusts of 42 mph were observed on September 2nd at both the Grand Isle, Louisiana CMAN station at 1300 CST, and at a NOAA weather buoy located 20 miles south of Biloxi, MS in the coastal waters at 1500 CST. At Venice, Louisiana a maximum wind gust of 44 mph was recorded on 1219 CST on September 2.",4
5670299,LOWER PLAQUEMINES (ZONE), ,09/02/1998,100,Tropical Storm, , ,0,0,0,0,LA,CST, ,1070641,Z,69,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/02/1998,1500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane southeast of the Louisiana coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate southeast Louisiana coastline.  Peak wind gusts of 42 mph were observed on September 2nd at both the Grand Isle, Louisiana CMAN station at 1300 CST, and at a NOAA weather buoy located 20 miles south of Biloxi, MS in the coastal waters at 1500 CST. At Venice, Louisiana a maximum wind gust of 44 mph was recorded on 1219 CST on September 2.",5
5667812,LAFAYETTE (ZONE), ,09/09/1998,300,Tropical Storm, , ,0,0,1000000,0,LA,CST, ,2149779,Z,44,LCH,0,0,NWS STORM SURVEY, , , , , , , , ,09/11/1998,1800, , , , ,"","Tropical Storm Frances was the third tropical system to affect southwest Louisiana in three weeks, and was by far the worst. Tides at Cameron were the highest since Hurricane Carla in 1961. Tornadoes and severe flooding were the 2 main weather disasters.

In Cameron Parish, Highway 82 was closed between Holly Beach and Constance Beach for 3 days due to high water. Sections of 82 between Holly Beach and Cameron, and around the Grand Chenier area were also closed. At Constance Beach, ten camps were heavily damaged, three of which were completely washed away. At Holly Beach, 2 feet of sand piled up along the coast. In Cameron, nearly every home and business on Main Street had water enter them. In Hackberry and Grand Lake, many homes were flooded due to high water from the Calcasieu River and excessive rain.  Total damages in Cameron Parish was in excesss of 10 million dollars.

In Calcasieu Parish, flooding from the Calcasieu River caused over 20 homes in the Deatonville area to report water in them.  Several boat houses and camps along the lake in Lake Charles were also damaged. Significant flooding was also reported in the Carlyss area, and south of the Lake Charles Regional Airport.

In Jeff Davis Parish, the worst flooding occurred in Jennings, Lake Arthur and Welsh.  A  tornado also did damage west of Lake Arthur.

In Vermilion Parish, the same area that flooded in Hurricane Audrey in 1957 was flooded again. The worst hit areas were Pecan Island, Forked Island, and Intracoastal City, where many homes and businesses had water enter them. Over ten inches of rain compounded the problems.

In Acadia and Evangeline Parishes, two tornadoes caused extensive damage due to hitting two schools.  Flooding was also reported across southern sections of Acadia Parish, along Bayou Queue de Tortue.

In Lafayette Parish, two tornadoes caused damages to mobile homes. 

In Iberia Parish, the town of Delcambre received extensive damage from flooding of the Delcambre Canal, which empties into the Gulf. Water levels in the canal reached the bottom of the bridge over Highway 14.  Seven to nine roads were closed due to high water.

In St. Mary Parish, Burns Point and Cypremort Point recorded flooding that caused some damage to homes and businesses.  Water was as deep as 3 to 4 feet deep in places.  This caused several road closures.",6
5667885,ST. MARY (ZONE), ,09/09/1998,300,Tropical Storm, , ,0,0,1000000,0,LA,CST, ,2149779,Z,54,LCH,0,0,NWS STORM SURVEY, , , , , , , , ,09/11/1998,1800, , , , ,"","Tropical Storm Frances was the third tropical system to affect southwest Louisiana in three weeks, and was by far the worst. Tides at Cameron were the highest since Hurricane Carla in 1961. Tornadoes and severe flooding were the 2 main weather disasters.

In Cameron Parish, Highway 82 was closed between Holly Beach and Constance Beach for 3 days due to high water. Sections of 82 between Holly Beach and Cameron, and around the Grand Chenier area were also closed. At Constance Beach, ten camps were heavily damaged, three of which were completely washed away. At Holly Beach, 2 feet of sand piled up along the coast. In Cameron, nearly every home and business on Main Street had water enter them. In Hackberry and Grand Lake, many homes were flooded due to high water from the Calcasieu River and excessive rain.  Total damages in Cameron Parish was in excesss of 10 million dollars.

In Calcasieu Parish, flooding from the Calcasieu River caused over 20 homes in the Deatonville area to report water in them.  Several boat houses and camps along the lake in Lake Charles were also damaged. Significant flooding was also reported in the Carlyss area, and south of the Lake Charles Regional Airport.

In Jeff Davis Parish, the worst flooding occurred in Jennings, Lake Arthur and Welsh.  A  tornado also did damage west of Lake Arthur.

In Vermilion Parish, the same area that flooded in Hurricane Audrey in 1957 was flooded again. The worst hit areas were Pecan Island, Forked Island, and Intracoastal City, where many homes and businesses had water enter them. Over ten inches of rain compounded the problems.

In Acadia and Evangeline Parishes, two tornadoes caused extensive damage due to hitting two schools.  Flooding was also reported across southern sections of Acadia Parish, along Bayou Queue de Tortue.

In Lafayette Parish, two tornadoes caused damages to mobile homes. 

In Iberia Parish, the town of Delcambre received extensive damage from flooding of the Delcambre Canal, which empties into the Gulf. Water levels in the canal reached the bottom of the bridge over Highway 14.  Seven to nine roads were closed due to high water.

In St. Mary Parish, Burns Point and Cypremort Point recorded flooding that caused some damage to homes and businesses.  Water was as deep as 3 to 4 feet deep in places.  This caused several road closures.",7
5667887,VERMILION (ZONE), ,09/09/1998,300,Tropical Storm, , ,0,0,2000000,0,LA,CST, ,2149779,Z,52,LCH,0,0,NWS STORM SURVEY, , , , , , , , ,09/11/1998,1800, , , , ,"","Tropical Storm Frances was the third tropical system to affect southwest Louisiana in three weeks, and was by far the worst. Tides at Cameron were the highest since Hurricane Carla in 1961. Tornadoes and severe flooding were the 2 main weather disasters.

In Cameron Parish, Highway 82 was closed between Holly Beach and Constance Beach for 3 days due to high water. Sections of 82 between Holly Beach and Cameron, and around the Grand Chenier area were also closed. At Constance Beach, ten camps were heavily damaged, three of which were completely washed away. At Holly Beach, 2 feet of sand piled up along the coast. In Cameron, nearly every home and business on Main Street had water enter them. In Hackberry and Grand Lake, many homes were flooded due to high water from the Calcasieu River and excessive rain.  Total damages in Cameron Parish was in excesss of 10 million dollars.

In Calcasieu Parish, flooding from the Calcasieu River caused over 20 homes in the Deatonville area to report water in them.  Several boat houses and camps along the lake in Lake Charles were also damaged. Significant flooding was also reported in the Carlyss area, and south of the Lake Charles Regional Airport.

In Jeff Davis Parish, the worst flooding occurred in Jennings, Lake Arthur and Welsh.  A  tornado also did damage west of Lake Arthur.

In Vermilion Parish, the same area that flooded in Hurricane Audrey in 1957 was flooded again. The worst hit areas were Pecan Island, Forked Island, and Intracoastal City, where many homes and businesses had water enter them. Over ten inches of rain compounded the problems.

In Acadia and Evangeline Parishes, two tornadoes caused extensive damage due to hitting two schools.  Flooding was also reported across southern sections of Acadia Parish, along Bayou Queue de Tortue.

In Lafayette Parish, two tornadoes caused damages to mobile homes. 

In Iberia Parish, the town of Delcambre received extensive damage from flooding of the Delcambre Canal, which empties into the Gulf. Water levels in the canal reached the bottom of the bridge over Highway 14.  Seven to nine roads were closed due to high water.

In St. Mary Parish, Burns Point and Cypremort Point recorded flooding that caused some damage to homes and businesses.  Water was as deep as 3 to 4 feet deep in places.  This caused several road closures.",8
5667886,UPPER ST. MARTIN (ZONE), ,09/09/1998,300,Tropical Storm, , ,0,0,0,0,LA,CST, ,2149779,Z,45,LCH,0,0,NWS STORM SURVEY, , , , , , , , ,09/11/1998,1800, , , , ,"","Tropical Storm Frances was the third tropical system to affect southwest Louisiana in three weeks, and was by far the worst. Tides at Cameron were the highest since Hurricane Carla in 1961. Tornadoes and severe flooding were the 2 main weather disasters.

In Cameron Parish, Highway 82 was closed between Holly Beach and Constance Beach for 3 days due to high water. Sections of 82 between Holly Beach and Cameron, and around the Grand Chenier area were also closed. At Constance Beach, ten camps were heavily damaged, three of which were completely washed away. At Holly Beach, 2 feet of sand piled up along the coast. In Cameron, nearly every home and business on Main Street had water enter them. In Hackberry and Grand Lake, many homes were flooded due to high water from the Calcasieu River and excessive rain.  Total damages in Cameron Parish was in excesss of 10 million dollars.

In Calcasieu Parish, flooding from the Calcasieu River caused over 20 homes in the Deatonville area to report water in them.  Several boat houses and camps along the lake in Lake Charles were also damaged. Significant flooding was also reported in the Carlyss area, and south of the Lake Charles Regional Airport.

In Jeff Davis Parish, the worst flooding occurred in Jennings, Lake Arthur and Welsh.  A  tornado also did damage west of Lake Arthur.

In Vermilion Parish, the same area that flooded in Hurricane Audrey in 1957 was flooded again. The worst hit areas were Pecan Island, Forked Island, and Intracoastal City, where many homes and businesses had water enter them. Over ten inches of rain compounded the problems.

In Acadia and Evangeline Parishes, two tornadoes caused extensive damage due to hitting two schools.  Flooding was also reported across southern sections of Acadia Parish, along Bayou Queue de Tortue.

In Lafayette Parish, two tornadoes caused damages to mobile homes. 

In Iberia Parish, the town of Delcambre received extensive damage from flooding of the Delcambre Canal, which empties into the Gulf. Water levels in the canal reached the bottom of the bridge over Highway 14.  Seven to nine roads were closed due to high water.

In St. Mary Parish, Burns Point and Cypremort Point recorded flooding that caused some damage to homes and businesses.  Water was as deep as 3 to 4 feet deep in places.  This caused several road closures.",9
5667811,JEFFERSON DAVIS (ZONE), ,09/09/1998,300,Tropical Storm, , ,0,0,1000000,0,LA,CST, ,2149779,Z,42,LCH,0,0,NWS STORM SURVEY, , , , , , , , ,09/11/1998,1800, , , , ,"","Tropical Storm Frances was the third tropical system to affect southwest Louisiana in three weeks, and was by far the worst. Tides at Cameron were the highest since Hurricane Carla in 1961. Tornadoes and severe flooding were the 2 main weather disasters.

In Cameron Parish, Highway 82 was closed between Holly Beach and Constance Beach for 3 days due to high water. Sections of 82 between Holly Beach and Cameron, and around the Grand Chenier area were also closed. At Constance Beach, ten camps were heavily damaged, three of which were completely washed away. At Holly Beach, 2 feet of sand piled up along the coast. In Cameron, nearly every home and business on Main Street had water enter them. In Hackberry and Grand Lake, many homes were flooded due to high water from the Calcasieu River and excessive rain.  Total damages in Cameron Parish was in excesss of 10 million dollars.

In Calcasieu Parish, flooding from the Calcasieu River caused over 20 homes in the Deatonville area to report water in them.  Several boat houses and camps along the lake in Lake Charles were also damaged. Significant flooding was also reported in the Carlyss area, and south of the Lake Charles Regional Airport.

In Jeff Davis Parish, the worst flooding occurred in Jennings, Lake Arthur and Welsh.  A  tornado also did damage west of Lake Arthur.

In Vermilion Parish, the same area that flooded in Hurricane Audrey in 1957 was flooded again. The worst hit areas were Pecan Island, Forked Island, and Intracoastal City, where many homes and businesses had water enter them. Over ten inches of rain compounded the problems.

In Acadia and Evangeline Parishes, two tornadoes caused extensive damage due to hitting two schools.  Flooding was also reported across southern sections of Acadia Parish, along Bayou Queue de Tortue.

In Lafayette Parish, two tornadoes caused damages to mobile homes. 

In Iberia Parish, the town of Delcambre received extensive damage from flooding of the Delcambre Canal, which empties into the Gulf. Water levels in the canal reached the bottom of the bridge over Highway 14.  Seven to nine roads were closed due to high water.

In St. Mary Parish, Burns Point and Cypremort Point recorded flooding that caused some damage to homes and businesses.  Water was as deep as 3 to 4 feet deep in places.  This caused several road closures.",10
