EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
136718,SOUTHERN PLYMOUTH (ZONE), ,09/06/2008,2036,Tropical Storm, , ,0,0,7000,0,MA,EST-5, ,23305,Z,21,BOX,0,0,Amateur Radio, , , , , , , , ,09/06/2008,2315, , , , ,"Tropical Storm Hanna made landfall near the North Carolina/South Carolina border at 320AM EDT September 6.  Hanna then moved north/northeast across the Mid-Atlantic states and southern New England September 6 and 7.  Storm total rainfall in southern Plymouth County ranged from two and a half to a little over four inches.  The nearest Automated Surface Observing Station at Plymouth Municipal Airport measured a sustained wind of 18 knots (21 mph) and a gust of 36 knots (41 mph).  The lowest sea level pressure was 995.6 mb at Plymouth Municipal Airport.  Several trees and wires were blown down in southern Plymouth County.  All of the associated effects of Hanna in southern Plymouth County resulted in no loss of life or injuries, and $7K in property damage, all attributed to winds.","Tropical Storm Hanna made landfall near the North Carolina/South Carolina border at 320AM EDT September 6.  Hanna then moved north/northeast across the Mid-Atlantic states and southern New England September 6 and 7.  Storm total rainfall in southern New England ranged from 2.04 inches in Randolph, MA to 6.56 inches in Nashua, NH.  The highest sustained wind of 27 knots (31 mph) was recorded at Nantucket Airport.  The highest wind gust of 37 knots (43 mph) was recorded at Blue Hill Observatory in Milton, MA.  The lowest sea level pressure was 994.5 mb at Conimicut Lighthouse, RI.  A coastal storm surge of 2 feet above normal tide was experienced at Providence, RI.  No coastal flooding was reported.  Minor wind damage was sustained by nearly every county in southern New England.  Significant wind damage occurred in southern Bristol and southern Plymouth Counties in Massachusetts and southeastern Providence County in Rhode Island.  All of the associated effects of Hanna in Southern New England resulted in no loss of life or injuries and $939K in property damage.  The winds caused $23K in property damage.  Inland flooding resulted in $916K in property damage.",1
136717,SOUTHERN BRISTOL (ZONE), ,09/06/2008,2052,Tropical Storm, , ,0,0,3000,0,MA,EST-5, ,23305,Z,20,BOX,0,0,Amateur Radio, , , , , , , , ,09/06/2008,2240, , , , ,"Tropical Storm Hanna made landfall near the North Carolina/South Carolina border at 320AM EDT September 6.  Hanna then moved north/northeast across the Mid-Atlantic states and southern New England September 6 and 7.  Storm total rainfall in southern Bristol County ranged from two to three inches.  The highest sustained wind of 24 knots (28 mph) and gust of 33 knots (38 mph) were recorded at New Bedford Regional Airport.  The lowest sea level pressure was 995.4 mb at New Bedford Regional Airport.  Several trees and wires were blown down in southern Bristol County.  A boat in New Bedford Harbor was blown off its mooring as well.  All of the associated effects of Hanna in southern Bristol County resulted in no loss of life or injuries, and $3K in property damage, all wind related.","Tropical Storm Hanna made landfall near the North Carolina/South Carolina border at 320AM EDT September 6.  Hanna then moved north/northeast across the Mid-Atlantic states and southern New England September 6 and 7.  Storm total rainfall in southern New England ranged from 2.04 inches in Randolph, MA to 6.56 inches in Nashua, NH.  The highest sustained wind of 27 knots (31 mph) was recorded at Nantucket Airport.  The highest wind gust of 37 knots (43 mph) was recorded at Blue Hill Observatory in Milton, MA.  The lowest sea level pressure was 994.5 mb at Conimicut Lighthouse, RI.  A coastal storm surge of 2 feet above normal tide was experienced at Providence, RI.  No coastal flooding was reported.  Minor wind damage was sustained by nearly every county in southern New England.  Significant wind damage occurred in southern Bristol and southern Plymouth Counties in Massachusetts and southeastern Providence County in Rhode Island.  All of the associated effects of Hanna in Southern New England resulted in no loss of life or injuries and $939K in property damage.  The winds caused $23K in property damage.  Inland flooding resulted in $916K in property damage.",2
192228,NANTUCKET (ZONE), ,08/22/2009,2253,Tropical Storm, , ,0,0,5000,0,MA,EST-5, ,32971,Z,24,BOX,0,0,Amateur Radio, , , , , , , , ,08/23/2009,0, , , , ,"Minor coastal flooding affected Atlantic Street running through Codfish Park on the southeastern coast of Nantucket.  On the southwestern coast of Nantucket, in Madaket, three homes on Massachusetts Avenue were surrounded by ocean waters.  Only one of the homes is occupied and water two and a half feet deep surrounded that home.","Hurricane Bill passed well to the east of Nantucket on August 22-23. While Bill passed Southern New England well offshore, he still made quite an impression on the area. Tropical moisture feeding into the area resulted in heavy rainfall which led to flooding and flash flooding. High swells churned up by Bill resulted in high surf and coastal flooding along portions of the Southern New England shoreline. On Nantucket, minor coastal flooding affected Atlantic Street running through Codfish Park on the southeastern coast of Nantucket.  On the southwestern coast of Nantucket, in Madaket, three homes on Massachusetts Avenue were surrounded by ocean waters.  Only one of the homes is occupied and water two and a half feet deep surrounded that home.",3
259482,NANTUCKET (ZONE), ,09/03/2010,1505,Tropical Storm, , ,0,0,20000,0,MA,EST-5, ,44767,Z,24,BOX,0,0,ASOS, , , , , , , , ,09/04/2010,525, , , , ,"Tropical Storm Earl made its closest pass to Southern New England the morning of September 4th, passing 98 miles to the southeast of Nantucket Island.  The Automated Surface Observing System at Nantucket Memorial Airport (KACK) recorded the only tropical storm force wind in Southern New England, measured shortly after midnight on the 4th at 36 knots (41 mph).  High surf induced by Earl resulted in minor coastal flooding in Newport, RI and Nantucket, MA, while a couple of locations on Cape Cod experienced minor freshwater flooding.  ||On Cape Cod, several trees were downed by the persistent sustained winds.  In Orleans, a downed tree blocked Route 6 along a two mile stretch from Exit 12 (MA 6A) to the rotary where Route 6 and Route 6A intersect to the east.  Another downed tree in Harwich partially blocked Route 28 near its intersection with Evelyns Way.  Trees were downed in Chatham and Bourne as well.","Tropical Storm Earl made its closest pass to Southern New England the morning of September 4th, passing 98 miles to the southeast of Nantucket Island.  The Automated Surface Observing System at Nantucket Memorial Airport (KACK) recorded the only tropical storm force wind in Southern New England, measured shortly after midnight on the 4th at 36 knots (41 mph).  High surf induced by Earl resulted in minor coastal flooding in Newport, RI and Nantucket, MA.  Meanwhile, a couple of locations on Cape Cod experienced minor freshwater flooding due to three to five inches of heavy rainfall.  Also on Cape Cod, several trees were downed by the persistent sustained winds.",4
341408,SOUTHERN PLYMOUTH (ZONE), ,08/28/2011,550,Tropical Storm, , ,0,0,1000000,0,MA,EST-5, ,56851,Z,21,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1430, , , , ,"Tree limbs were downed onto Depot Street in Mattapoisett.  Trees were downed onto houses on Ryder Lane and Point Road in Marion, resulting in structural damage.  The steeple was blown off a church on Highland Avenue in Onset.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20.  Irene moved through the Caribbean and up the east coast of the United States making landfall twice.  She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening.  She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey.  She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later.  By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States.||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts.  The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island.  The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI.  The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS).  Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA).||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state.  Some of these customers did not get their power back until the Friday following the storm (some five days later).  During the passage of Tropical Storm Irene, the winds resulted in $34.7M in property damages, storm surge resulted in $75,000 in property damages, and inland flooding resulted in $24.13M in property damages, all in Massachusetts.||This rainfall contributed to significant flooding in northwestern Massachusetts where mainstem rivers and their tributaries reached levels not seen since 1987, and in some cases (The Connecticut River at Montague) since 1938.  The Deerfield River at West Deerfield set a new flood of record at 23.8 feet, the previous record was 17.71 feet set in April of 1987.  The North River at Shattuckville set a new flood of record at 17.66 feet, the previous record was 12.32 feet set in October of 2005.  The Westfield River reached its highest level since 1980.  The Connecticut River at Holyoke, Springfield, and Northampton crested at its highest level since April 1987.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0  injuries, and $127.3M in property damage in the following counties:  Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",5
341424,WESTERN PLYMOUTH (ZONE), ,08/28/2011,621,Tropical Storm, , ,0,0,1600000,0,MA,EST-5, ,56851,Z,18,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1325, , , , ,"Trees, branches, and wires were downed on South, Union, Conant, and Hale Streets in Bridgewater.  One of these trees was downed onto a house.  A tree and wires were downed on Forest Park Drive in Lakeville.  Numerous trees were downed in Middleboro.  A large tree was downed at the intersection of Routes 58 and 123 in Abington.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20.  Irene moved through the Caribbean and up the east coast of the United States making landfall twice.  She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening.  She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey.  She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later.  By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States.||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts.  The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island.  The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI.  The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS).  Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA).||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state.  Some of these customers did not get their power back until the Friday following the storm (some five days later).  During the passage of Tropical Storm Irene, the winds resulted in $34.7M in property damages, storm surge resulted in $75,000 in property damages, and inland flooding resulted in $24.13M in property damages, all in Massachusetts.||This rainfall contributed to significant flooding in northwestern Massachusetts where mainstem rivers and their tributaries reached levels not seen since 1987, and in some cases (The Connecticut River at Montague) since 1938.  The Deerfield River at West Deerfield set a new flood of record at 23.8 feet, the previous record was 17.71 feet set in April of 1987.  The North River at Shattuckville set a new flood of record at 17.66 feet, the previous record was 12.32 feet set in October of 2005.  The Westfield River reached its highest level since 1980.  The Connecticut River at Holyoke, Springfield, and Northampton crested at its highest level since April 1987.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0  injuries, and $127.3M in property damage in the following counties:  Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",6
339928,NORTHERN BERKSHIRE (ZONE), ,08/28/2011,622,Tropical Storm, , ,0,0,0,0,MA,EST-5, ,56737,Z,1,ALY,0,0,Trained Spotter, , , , , , , , ,08/28/2011,2200, , , , ,"Numerous trees and power lines were reported down by strong winds across Berkshire County, resulting in power outages and road closures including, but not limited to the following: in Adams, Route 116 and Route 8, and in Otis Route 8 and Route 7.  The Automated Surface Observing System at the Pittsfield Municipal Airport measured a peak gust of 47 mph at 6:20 pm EDT (5:20 pm EST) and at the Harriman and West Airport in North Adams, a peak gust of 47 mph was measured at 9:26 pm EDT (8:26 pm EST).","Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across western Massachusetts was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 3 to 6 inches, although locally higher amounts of 6 to 9 inches occurred across extreme northern and eastern portions of the county. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Berkshire County. In Berkshire County, widespread road closures occurred due to flooding and downed trees and power lines. Numerous evacuations also occurred, including the towns of Otis, Sandisfield, Cheshire, Adams, Williamstown, and North Adams.  A debris flow was also reported in North Adams.||Furthermore, major flooding was reported on the Hoosic River at Williamstown, with moderate flooding reported on the West Branch Farmington River at New Boston and the East Branch Housatonic River at Coltsville, and minor flooding on the Housatonic River at Great Barrington. ||Strong winds also occurred across Berkshire County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Berkshire County, 10000.||On August 26th, 2011 an Emergency Declarartion was declared, FEMA-EM-3330.  This declaration made Public Assistance available to all 14 counties in the state of Massachusetts. ||Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.",7
339929,SOUTHERN BERKSHIRE (ZONE), ,08/28/2011,622,Tropical Storm, , ,0,0,0,0,MA,EST-5, ,56737,Z,25,ALY,0,0,Trained Spotter, , , , , , , , ,08/28/2011,2200, , , , ,"Numerous trees and power lines were reported down due to strong winds across Berkshire County, resulting in power outages and road closures including but not limited to the following: in Lenox Route 7.","Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across western Massachusetts was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 3 to 6 inches, although locally higher amounts of 6 to 9 inches occurred across extreme northern and eastern portions of the county. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Berkshire County. In Berkshire County, widespread road closures occurred due to flooding and downed trees and power lines. Numerous evacuations also occurred, including the towns of Otis, Sandisfield, Cheshire, Adams, Williamstown, and North Adams.  A debris flow was also reported in North Adams.||Furthermore, major flooding was reported on the Hoosic River at Williamstown, with moderate flooding reported on the West Branch Farmington River at New Boston and the East Branch Housatonic River at Coltsville, and minor flooding on the Housatonic River at Great Barrington. ||Strong winds also occurred across Berkshire County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Berkshire County, 10000.||On August 26th, 2011 an Emergency Declarartion was declared, FEMA-EM-3330.  This declaration made Public Assistance available to all 14 counties in the state of Massachusetts. ||Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.",8
341407,SOUTHERN BRISTOL (ZONE), ,08/28/2011,625,Tropical Storm, , ,0,0,2600000,0,MA,EST-5, ,56851,Z,20,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1500, , , , ,"Numerous trees and branches were downed throughout southern Bristol County, including in Dartmouth (Smith Neck and Slocum Roads and Colonial Way), Fall River (Concord and South Main Streets), Acushnet (Chershire Street and Nye Avenue), and Freetown (Chace Road).  Some of these trees fell onto houses.  The aluminum siding was blown off a building onto the Fairhaven-New Bedford Bridge. A telephone pole was downed on Schooner Court in New Bedford.  The Olympia Towers apartment building in New Bedford suffered some structural damage.  A tree was downed in Swansea, falling through a house.  Shingles were blown off a roof on Mandell Street in New Bedford.||The Automated Surface Observing System at New Bedford Regional Airport (KEWB) recorded sustained wind speeds of 35 knots (40 mph) and gusts to 50 knots (58 mph).  An amateur radio operator in Fairhaven recorded sustained winds of 43 knots (50 mph) and a gust of 63 knots (72 mph) on their home weather station.  Another amateur radio operator in Fall River recorded a gust to 55 knots (63 mph) on their home weather station.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20.  Irene moved through the Caribbean and up the east coast of the United States making landfall twice.  She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening.  She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey.  She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later.  By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States.||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts.  The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island.  The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI.  The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS).  Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA).||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state.  Some of these customers did not get their power back until the Friday following the storm (some five days later).  During the passage of Tropical Storm Irene, the winds resulted in $34.7M in property damages, storm surge resulted in $75,000 in property damages, and inland flooding resulted in $24.13M in property damages, all in Massachusetts.||This rainfall contributed to significant flooding in northwestern Massachusetts where mainstem rivers and their tributaries reached levels not seen since 1987, and in some cases (The Connecticut River at Montague) since 1938.  The Deerfield River at West Deerfield set a new flood of record at 23.8 feet, the previous record was 17.71 feet set in April of 1987.  The North River at Shattuckville set a new flood of record at 17.66 feet, the previous record was 12.32 feet set in October of 2005.  The Westfield River reached its highest level since 1980.  The Connecticut River at Holyoke, Springfield, and Northampton crested at its highest level since April 1987.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0  injuries, and $127.3M in property damage in the following counties:  Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",9
341409,SOUTHERN WORCESTER (ZONE), ,08/28/2011,700,Tropical Storm, , ,0,0,800000,0,MA,EST-5, ,56851,Z,12,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1237, , , , ,"Numerous trees and branches were downed in Northbridge and Northborough.  Trees and wires were downed, closing several streets in Southborough.  A tree was downed onto wires on West Street in Auburn.  A tree was downed onto a house on Harding Street in Milford.||The Automated Surface Observing System at Worcester Regional Airport (KORH) recorded sustained wind speeds of 33 knots (38 mph) and gusts to 45 knots (52 mph).  An amateur radio operator recorded a gust to 52 knots (60 mph) on their home weather station in Worcester.  A trained spotter recorded sustained wind speeds of 27 knots (31 mph) on their home weather station in Milford.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20.  Irene moved through the Caribbean and up the east coast of the United States making landfall twice.  She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening.  She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey.  She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later.  By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States.||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts.  The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island.  The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI.  The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS).  Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA).||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state.  Some of these customers did not get their power back until the Friday following the storm (some five days later).  During the passage of Tropical Storm Irene, the winds resulted in $34.7M in property damages, storm surge resulted in $75,000 in property damages, and inland flooding resulted in $24.13M in property damages, all in Massachusetts.||This rainfall contributed to significant flooding in northwestern Massachusetts where mainstem rivers and their tributaries reached levels not seen since 1987, and in some cases (The Connecticut River at Montague) since 1938.  The Deerfield River at West Deerfield set a new flood of record at 23.8 feet, the previous record was 17.71 feet set in April of 1987.  The North River at Shattuckville set a new flood of record at 17.66 feet, the previous record was 12.32 feet set in October of 2005.  The Westfield River reached its highest level since 1980.  The Connecticut River at Holyoke, Springfield, and Northampton crested at its highest level since April 1987.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0  injuries, and $127.3M in property damage in the following counties:  Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",10
