EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5578714,LINCOLN (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,26,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",1
5578715,KNOX (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,27,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",2
5578711,COASTAL YORK (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,23,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",3
5578717,COASTAL HANCOCK (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,2,0,0,ME,EST, ,2055926,Z,29,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",4
5578716,COASTAL WALDO (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,28,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",5
5578712,COASTAL CUMBERLAND (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,24,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",6
5578713,SAGADAHOC (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,25,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",7
5578718,COASTAL WASHINGTON (ZONE), ,09/02/1996,600,Hurricane (Typhoon), , ,0,0,0,0,ME,EST, ,2055926,Z,30,GYX,0,0, , , , , , , , , ,09/02/1996,2300, , , , ,"","Hurricane Edouard moved northeastward well offshore causing over an inch of rain along the immediate coast with lesser amounts inland.  Winds gusted to 33 kts at Portland with higher gusts at marine stations in the coastal waters.  Mt. Desert Rock had a 1-minute wind of 41 kts with a peak gust of 47 kts.  The wind knocked over trees in some coastal areas.  Several boats that dragged or broke loose from their moorings in Southwest Harbor were damaged.  Two people on Mt. Desert Island were injured and treated at an area hospital when they were caught offgaurd by a large breaker and thrown down onto jagged rocks.  In Kittery, water poured through two sections of the municiple office building roof, damaging computer equipment.",8
134749,COASTAL WASHINGTON (ZONE), ,09/28/2008,1700,Tropical Storm, , ,0,0,0,0,ME,EST-5, ,23061,Z,30,CAR,0,0,Mesonet, , , , , , , , ,09/28/2008,2100, , , , ,"Hurricane Kyle...tracking across the eastern Gulf of Maine...brought tropical storm force wind gusts of 40 to 45 mph to coastal Washington county. The combination of gusty winds and saturated ground contributed to some trees and power lines being toppled. This led to scattered power outages.","Hurricane Kyle made landfall in southern Nova Scotia as a Category 1 hurricane. The storm brought tropical storm force wind gusts of 40 to 45 mph to the Downeast Maine coast. These winds and saturated ground combined to topple some trees and power lines...with around 500 customers in Hancock county losing power. Most of the power outages were near the coast where the strongest winds occurred. Based on the track of the hurricane...storm surge was not a significant factor. The most significant impact of the storm was heavy rain which contributed to flooding across portions of Hancock and Washington counties. The heavy rains occurred in two episodes. The first episode occurred around 24 hours in advance of the hurricane when tropical moisture was drawn north across the region producing 2.00 to 3.00 inches of rain over much of Hancock and Washington counties. An additional 2.00 to 3.00 inches of rain then fell across much of the same region with the hurricane. Combined rainfall from both events generally ranged from 3.00 to 6.00 inches across Hancock county...with local totals of around 7.00 inches. Across Washington county...total event rainfall generally ranged from 3.00 to 4.50 inches. The rain produced elevated water levels on streams and contributed to flooding of some roads and road damage. Some of the same roads which had been damagd earlier in the month were damaged again.",9
134748,COASTAL HANCOCK (ZONE), ,09/28/2008,1700,Tropical Storm, , ,0,0,0,0,ME,EST-5, ,23061,Z,29,CAR,0,0,Mesonet, , , , , , , , ,09/28/2008,2100, , , , ,"Hurricane Kyle...tracking across the eastern Gulf of Maine...brought tropical storm force wind gusts of 40 to 45 mph to coastal Hancock county. The combination of gusty winds and saturated ground contributed to some trees and power lines being toppled. This led to power outages...with around 500 customers losing power.","Hurricane Kyle made landfall in southern Nova Scotia as a Category 1 hurricane. The storm brought tropical storm force wind gusts of 40 to 45 mph to the Downeast Maine coast. These winds and saturated ground combined to topple some trees and power lines...with around 500 customers in Hancock county losing power. Most of the power outages were near the coast where the strongest winds occurred. Based on the track of the hurricane...storm surge was not a significant factor. The most significant impact of the storm was heavy rain which contributed to flooding across portions of Hancock and Washington counties. The heavy rains occurred in two episodes. The first episode occurred around 24 hours in advance of the hurricane when tropical moisture was drawn north across the region producing 2.00 to 3.00 inches of rain over much of Hancock and Washington counties. An additional 2.00 to 3.00 inches of rain then fell across much of the same region with the hurricane. Combined rainfall from both events generally ranged from 3.00 to 6.00 inches across Hancock county...with local totals of around 7.00 inches. Across Washington county...total event rainfall generally ranged from 3.00 to 4.50 inches. The rain produced elevated water levels on streams and contributed to flooding of some roads and road damage. Some of the same roads which had been damagd earlier in the month were damaged again.",10
