EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5611743,HANCOCK (ZONE), ,07/17/1997,1800,Hurricane (Typhoon), , ,0,0,0,0,MS,CST, ,2066676,Z,80,LIX,0,0, , , , , , , , , ,07/19/1997,1200, , , , ,"","Hurricane Danny, a minimal Saffir Simpson scale Category 1 hurricane, moved slowly from extreme southeast Louisiana across the Chandeleur and Breton sounds and into Mobile Bay from early on July 18 until late on July 19. The area on the Mississippi Coast most affected by Hurricane Danny was eastern Jackson County. A wind gust of 30 knots was recorded at Pascagoula during the early morning hours on July 19.  Due to the hurricane's slow forward speed, heavy rainfall occurred over eastern Jackson County. A three day rain total of 7.87 inches was recorded at the Pascagoula airport from July 17 thru July 19. Some flooding of streets and a few homes occurred in a few areas of poor drainage in extreme southeast Jackson County due to the heavy rain. Because Hurricane Danny was a minimal hurricane and small in size, most of the adverse affects of the hurricane were confined to near the center, primarily in Alabama. Overall, county emergency management officials in coastal Mississippi reported no significant damage from Hurricane Danny.",1
5611744,HARRISON (ZONE), ,07/17/1997,1800,Hurricane (Typhoon), , ,0,0,0,0,MS,CST, ,2066676,Z,81,LIX,0,0, , , , , , , , , ,07/19/1997,2100, , , , ,"","Hurricane Danny, a minimal Saffir Simpson scale Category 1 hurricane, moved slowly from extreme southeast Louisiana across the Chandeleur and Breton sounds and into Mobile Bay from early on July 18 until late on July 19. The area on the Mississippi Coast most affected by Hurricane Danny was eastern Jackson County. A wind gust of 30 knots was recorded at Pascagoula during the early morning hours on July 19.  Due to the hurricane's slow forward speed, heavy rainfall occurred over eastern Jackson County. A three day rain total of 7.87 inches was recorded at the Pascagoula airport from July 17 thru July 19. Some flooding of streets and a few homes occurred in a few areas of poor drainage in extreme southeast Jackson County due to the heavy rain. Because Hurricane Danny was a minimal hurricane and small in size, most of the adverse affects of the hurricane were confined to near the center, primarily in Alabama. Overall, county emergency management officials in coastal Mississippi reported no significant damage from Hurricane Danny.",2
5611745,JACKSON (ZONE), ,07/17/1997,1800,Hurricane (Typhoon), , ,0,0,0,0,MS,CST, ,2066676,Z,82,LIX,0,0, , , , , , , , , ,07/19/1997,2100, , , , ,"","Hurricane Danny, a minimal Saffir Simpson scale Category 1 hurricane, moved slowly from extreme southeast Louisiana across the Chandeleur and Breton sounds and into Mobile Bay from early on July 18 until late on July 19. The area on the Mississippi Coast most affected by Hurricane Danny was eastern Jackson County. A wind gust of 30 knots was recorded at Pascagoula during the early morning hours on July 19.  Due to the hurricane's slow forward speed, heavy rainfall occurred over eastern Jackson County. A three day rain total of 7.87 inches was recorded at the Pascagoula airport from July 17 thru July 19. Some flooding of streets and a few homes occurred in a few areas of poor drainage in extreme southeast Jackson County due to the heavy rain. Because Hurricane Danny was a minimal hurricane and small in size, most of the adverse affects of the hurricane were confined to near the center, primarily in Alabama. Overall, county emergency management officials in coastal Mississippi reported no significant damage from Hurricane Danny.",3
5673201,STONE (ZONE), ,09/25/1998,900,Hurricane (Typhoon), , ,0,0,25000000,0,MS,CST, ,2149984,Z,78,MOB,0,0,NEWSPAPER, , , , , , , , ,09/29/1998,900, , , , ,"","Please see the narrative on Hurricane Georges under Alabama, Southwest, September 25-29, 1998.",4
5673315,WAYNE (ZONE), ,09/25/1998,900,Hurricane (Typhoon), , ,0,0,1000000,0,MS,CST, ,2149984,Z,67,MOB,0,0,NEWSPAPER, , , , , , , , ,09/29/1998,900, , , , ,"","Please see the narrative on Hurricane Georges under Alabama, Southwest, September 25-29, 1998.",5
5673314,PERRY (ZONE), ,09/25/1998,900,Hurricane (Typhoon), , ,0,0,1000000,0,MS,CST, ,2149984,Z,75,MOB,0,0,NEWSPAPER, , , , , , , , ,09/29/1998,900, , , , ,"","Please see the narrative on Hurricane Georges under Alabama, Southwest, September 25-29, 1998.",6
5673313,GEORGE (ZONE), ,09/25/1998,900,Hurricane (Typhoon), , ,0,0,30000000,0,MS,CST, ,2149984,Z,79,MOB,0,0,NEWSPAPER, , , , , , , , ,09/29/1998,900, , , , ,"","Please see the narrative on Hurricane Georges under Alabama, Southwest, September 25-29, 1998.",7
5673202,GREENE (ZONE), ,09/25/1998,900,Hurricane (Typhoon), , ,0,0,15000000,0,MS,CST, ,2149984,Z,76,MOB,0,0,NEWSPAPER, , , , , , , , ,09/29/1998,900, , , , ,"","Please see the narrative on Hurricane Georges under Alabama, Southwest, September 25-29, 1998.",8
5670294,HANCOCK (ZONE), ,09/27/1998,1200,Hurricane (Typhoon), , ,0,0,20000000,0,MS,CST, ,2150448,Z,80,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/28/1998,1800, , , , ,"","Hurricane Georges, a strong Category 2 hurricane moved slowly northwest across the Gulf of Mexico  toward southeast Louisiana and coastal Mississippi on the September 25 and September 26. As the hurricane approached the mouth of the Mississippi River on September 27, it slowly turned toward the north making landfall along the Mississippi Coast just to the east of Biloxi, MS at 0400 CST on September 28. The hurricane moved only slowly north during the morning hours, at times becoming nearly stationary. The hurricane finally was downgraded to a tropical storm at 1500CST on September 28 when it was located north of Biloxi. The tropical storm then moved very slowly eastward into southern Alabama on September 29. 

The greatest affect from the hurricane occurred over Jackson County which experienced the intense eastern portion of the hurricanes eyewall and highest storm surge.

Due to the slow forward speed of the hurricane very heavy rainfall occurred over eastern Harrison County and Jackson County leading to record flooding on streams and rivers. The barrier islands in the Mississippi Sound were also heavily damaged by wind and storm surge. A new three quarter mile cut developed in the east portion of Ship Island.  Total insured property damage in Mississippi was estimated at near 310 million dollars by insurance industry sources. When unisured losses and public property damage considered, total damages in Mississippi will likely approach $620 million.

Hancock County - Wind damage in Hancock County was mostly confined to large tree limbs snapped off, trees downed, and minor roof damage to houses and businesses, and damage to commercial signs. Storm surge was of minimal impact with the county remaining on the west side of the hurricane. Storm surge was 4 to 5 ft above normal with only minor coastal flooding and beach erosion occurring. Approximately 2,000 people were housed in public shelters.

Harrison County - Moderate wind damage occurred throughout the parish. Many commercial signs were damaged or destroyed, large trees limbs and trees downed, and wind damaged roofs or houses and businesses. At the Gulfport Harbor, a wind gage recorded a maximum gust of 80 mph at 0415CST on September 28.  At approximately the same time period, a gust to 117 mph was recorded in Gulfport, one mile north of the beach.  Storm surge flooding was generally 6 to 7 feet above normal across the coast. Storm surge flooding crossed US Highway 90 in several locations, but storm surge flooding to property was not considered major. A maximum stage of  8.1 ft was recorded at the Gulfport Harbor.

Due to the slow movement of the hurricane, heavy rain occurred over the east portion of the county and adjacent areas. Significant river flooding occurred on the Biloxi and Tchoutacabouffa Rivers on the September 28 and September 29.  Wortham, on the Biloxi River reached its second highest stage of record with a reading of 25.47 ft on September 29.  

Many county residents evacuated low lying areas in advance of the hurricane with approximately 3700 seeking refuge in public evacuation shelters within the county. 

Jackson County - Jackson County bore the brunt of Hurricane Georges with the area experiencing the strong right front quadrant of the hurricane's circulation. A storm surge of 8 to 11 feet caused storm surge flooding along low lying coastal areas. This was the greatest storm surge flooding in Jackson County in nearly 30 years. In the east beach section of the Bellefontaine area, 23 of 27 homes were heavily damaged or destroyed by storm surge. Many businesses and industries located in low lying coastal areas were flooded causing considerable property damage and loss of revenue. The U.S. Navy facility at Pascagoula suffered $2.2 million in property damage, primarily roof and water damage. 

Several unofficial anemometers recorded gusts between 85 and 100 mph in the Pascagoula area. Moderate wind damage was reported across the parish. Numerous commercial signs were destroyed, trees downed, roofs damaged, and power lines and poles downed. 

Approximately 4600 people sought refuge in public hurricane evacuation shelters in Jackson County. Two shelters, one in Gautier and one in Pascagoula, suffered wind damage to the roof at the height of the storm. 

Due to the slow forward speed of Hurricane Georges, widespread heavy rainfall occurred over Jackson County and over the watershed of the Pascagoula and Escatawpa Rivers. Rainfall of 10 to 15 inches was common over Jackson County. River flooding developed over much of the county by September 28. A record flood crest of 20.82 feet was established on Red Creek at Vestry. On the Escatawpa River, a record flood crest of 22.70 feet was established at Agricola.  Approximately 3,000 people were evacuated from flooded areas, primarily in the Escatawpa River basin, with hundreds of structures flooded in the county.  

Pearl River County - Damage was mainly confined to downed tree limbs and trees, minor to moderate roof damage to homes and businesses, and power outages from downed power lines. Several secondary highways and roadways in the county were blocked by fallen trees. Storm total rainfall was fairly light with amounts of 2 to 4 inches common. About 200 people were sheltered in public hurricane evacuations shelters in the county.",9
5670297,PEARL RIVER (ZONE), ,09/27/1998,1200,Hurricane (Typhoon), , ,0,0,2000000,0,MS,CST, ,2150448,Z,77,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/28/1998,1800, , , , ,"","Hurricane Georges, a strong Category 2 hurricane moved slowly northwest across the Gulf of Mexico  toward southeast Louisiana and coastal Mississippi on the September 25 and September 26. As the hurricane approached the mouth of the Mississippi River on September 27, it slowly turned toward the north making landfall along the Mississippi Coast just to the east of Biloxi, MS at 0400 CST on September 28. The hurricane moved only slowly north during the morning hours, at times becoming nearly stationary. The hurricane finally was downgraded to a tropical storm at 1500CST on September 28 when it was located north of Biloxi. The tropical storm then moved very slowly eastward into southern Alabama on September 29. 

The greatest affect from the hurricane occurred over Jackson County which experienced the intense eastern portion of the hurricanes eyewall and highest storm surge.

Due to the slow forward speed of the hurricane very heavy rainfall occurred over eastern Harrison County and Jackson County leading to record flooding on streams and rivers. The barrier islands in the Mississippi Sound were also heavily damaged by wind and storm surge. A new three quarter mile cut developed in the east portion of Ship Island.  Total insured property damage in Mississippi was estimated at near 310 million dollars by insurance industry sources. When unisured losses and public property damage considered, total damages in Mississippi will likely approach $620 million.

Hancock County - Wind damage in Hancock County was mostly confined to large tree limbs snapped off, trees downed, and minor roof damage to houses and businesses, and damage to commercial signs. Storm surge was of minimal impact with the county remaining on the west side of the hurricane. Storm surge was 4 to 5 ft above normal with only minor coastal flooding and beach erosion occurring. Approximately 2,000 people were housed in public shelters.

Harrison County - Moderate wind damage occurred throughout the parish. Many commercial signs were damaged or destroyed, large trees limbs and trees downed, and wind damaged roofs or houses and businesses. At the Gulfport Harbor, a wind gage recorded a maximum gust of 80 mph at 0415CST on September 28.  At approximately the same time period, a gust to 117 mph was recorded in Gulfport, one mile north of the beach.  Storm surge flooding was generally 6 to 7 feet above normal across the coast. Storm surge flooding crossed US Highway 90 in several locations, but storm surge flooding to property was not considered major. A maximum stage of  8.1 ft was recorded at the Gulfport Harbor.

Due to the slow movement of the hurricane, heavy rain occurred over the east portion of the county and adjacent areas. Significant river flooding occurred on the Biloxi and Tchoutacabouffa Rivers on the September 28 and September 29.  Wortham, on the Biloxi River reached its second highest stage of record with a reading of 25.47 ft on September 29.  

Many county residents evacuated low lying areas in advance of the hurricane with approximately 3700 seeking refuge in public evacuation shelters within the county. 

Jackson County - Jackson County bore the brunt of Hurricane Georges with the area experiencing the strong right front quadrant of the hurricane's circulation. A storm surge of 8 to 11 feet caused storm surge flooding along low lying coastal areas. This was the greatest storm surge flooding in Jackson County in nearly 30 years. In the east beach section of the Bellefontaine area, 23 of 27 homes were heavily damaged or destroyed by storm surge. Many businesses and industries located in low lying coastal areas were flooded causing considerable property damage and loss of revenue. The U.S. Navy facility at Pascagoula suffered $2.2 million in property damage, primarily roof and water damage. 

Several unofficial anemometers recorded gusts between 85 and 100 mph in the Pascagoula area. Moderate wind damage was reported across the parish. Numerous commercial signs were destroyed, trees downed, roofs damaged, and power lines and poles downed. 

Approximately 4600 people sought refuge in public hurricane evacuation shelters in Jackson County. Two shelters, one in Gautier and one in Pascagoula, suffered wind damage to the roof at the height of the storm. 

Due to the slow forward speed of Hurricane Georges, widespread heavy rainfall occurred over Jackson County and over the watershed of the Pascagoula and Escatawpa Rivers. Rainfall of 10 to 15 inches was common over Jackson County. River flooding developed over much of the county by September 28. A record flood crest of 20.82 feet was established on Red Creek at Vestry. On the Escatawpa River, a record flood crest of 22.70 feet was established at Agricola.  Approximately 3,000 people were evacuated from flooded areas, primarily in the Escatawpa River basin, with hundreds of structures flooded in the county.  

Pearl River County - Damage was mainly confined to downed tree limbs and trees, minor to moderate roof damage to homes and businesses, and power outages from downed power lines. Several secondary highways and roadways in the county were blocked by fallen trees. Storm total rainfall was fairly light with amounts of 2 to 4 inches common. About 200 people were sheltered in public hurricane evacuations shelters in the county.",10
