EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5670304,JACKSON (ZONE), ,09/02/1998,600,Tropical Storm, , ,0,0,0,0,MS,CST, ,2150449,Z,82,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane south of the Mississippi coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate Mississippi coastline.  A peak wind gust of 42 mph was recorded on September 2nd at 1500 CST by a NOAA weather buoy located in the coastal waters 20 miles south of Biloxi, MS. At Gulfport and Pascagoula the maximum wind gust at both locations was 33 mph on the afternoon of September 2nd.",1
5670302,HANCOCK (ZONE), ,09/02/1998,600,Tropical Storm, , ,0,0,0,0,MS,CST, ,2150449,Z,80,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane south of the Mississippi coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate Mississippi coastline.  A peak wind gust of 42 mph was recorded on September 2nd at 1500 CST by a NOAA weather buoy located in the coastal waters 20 miles south of Biloxi, MS. At Gulfport and Pascagoula the maximum wind gust at both locations was 33 mph on the afternoon of September 2nd.",2
5670303,HARRISON (ZONE), ,09/02/1998,600,Tropical Storm, , ,0,0,0,0,MS,CST, ,2150449,Z,81,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/03/1998,500, , , , ,"","Tropical Storm Earl developed in the southwest Gulf of Mexico on the 31st of August and moved north northeast toward the Louisiana coast.  As Earl organized, it's center reformed to the northeast and the storm strengthened to a minimal hurricane south of the Mississippi coast during the morning of September 2nd.  Earl's maximum sustained winds increased to 100 mph as it began moving east northeast toward the Florida Panhandle where it made landfall early on September 3rd.  Earl's strongest winds remained east of its center well off the coast; therefore, only minimal tropical storm force wind gusts were observed along the immediate Mississippi coastline.  A peak wind gust of 42 mph was recorded on September 2nd at 1500 CST by a NOAA weather buoy located in the coastal waters 20 miles south of Biloxi, MS. At Gulfport and Pascagoula the maximum wind gust at both locations was 33 mph on the afternoon of September 2nd.",3
5670164,PEARL RIVER (ZONE), ,09/19/1998,1800,Tropical Storm, , ,0,0,75000,0,MS,CST, ,2150445,Z,77,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/20/1998,1500, , , , ,"","A tropical depression that formed in the central Gulf of Mexico on September 17th strengthened to a minimal tropical storm named Hermine on the morning of the 18th.  Tropical Storm Hermine meandered in the Gulf of Mexico for a period of time before beginning a slow north northeast motion that brought it ashore in the early morning hours of the 20th near Cocodrie, LA in Terrebonne Parish.  Tropical Storm Hermine then drifted north over southeast Louisiana and was downgraded to a tropical depression 50 miles northwest of New Orleans during the evening of the 20th.  Winds associated with Hermine were of minimal tropical storm force and were mainly contained in squalls.  A peak wind gust of 46 mph in a squall was measured just off the southeast coast of Louisiana at the Burrwood NOAA C-MAN station near the mouth of the Mississippi River at 1139 CST on September 19th.

Two tornadoes developed in rainbands associated with Tropical Storm Hermine on September 20th.  The first tornado occurred around 0730 CST 10 miles south of Poplarville, MS and destroyed two mobile homes, damaged seven cars, and caused one injury.  A second weak tornado briefly touched down near Bay St. Louis, MS around 0850 CST resulting in only minor damage.

Isolated flash flooding also occurred with Tropical Storm Hermine on September 20th when 4 to 5 inches of rain fell on areas of  Walthall county.  Sections of a few roadways in southern Walthall county were briefly under water including Mississippi Highway 27 which was covered by up to a foot of water in places.",4
5670158,HANCOCK (ZONE), ,09/19/1998,1800,Tropical Storm, , ,0,0,10000,0,MS,CST, ,2150445,Z,80,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/20/1998,1500, , , , ,"","A tropical depression that formed in the central Gulf of Mexico on September 17th strengthened to a minimal tropical storm named Hermine on the morning of the 18th.  Tropical Storm Hermine meandered in the Gulf of Mexico for a period of time before beginning a slow north northeast motion that brought it ashore in the early morning hours of the 20th near Cocodrie, LA in Terrebonne Parish.  Tropical Storm Hermine then drifted north over southeast Louisiana and was downgraded to a tropical depression 50 miles northwest of New Orleans during the evening of the 20th.  Winds associated with Hermine were of minimal tropical storm force and were mainly contained in squalls.  A peak wind gust of 46 mph in a squall was measured just off the southeast coast of Louisiana at the Burrwood NOAA C-MAN station near the mouth of the Mississippi River at 1139 CST on September 19th.

Two tornadoes developed in rainbands associated with Tropical Storm Hermine on September 20th.  The first tornado occurred around 0730 CST 10 miles south of Poplarville, MS and destroyed two mobile homes, damaged seven cars, and caused one injury.  A second weak tornado briefly touched down near Bay St. Louis, MS around 0850 CST resulting in only minor damage.

Isolated flash flooding also occurred with Tropical Storm Hermine on September 20th when 4 to 5 inches of rain fell on areas of  Walthall county.  Sections of a few roadways in southern Walthall county were briefly under water including Mississippi Highway 27 which was covered by up to a foot of water in places.",5
5670159,HARRISON (ZONE), ,09/19/1998,1800,Tropical Storm, , ,0,0,0,0,MS,CST, ,2150445,Z,81,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/20/1998,1500, , , , ,"","A tropical depression that formed in the central Gulf of Mexico on September 17th strengthened to a minimal tropical storm named Hermine on the morning of the 18th.  Tropical Storm Hermine meandered in the Gulf of Mexico for a period of time before beginning a slow north northeast motion that brought it ashore in the early morning hours of the 20th near Cocodrie, LA in Terrebonne Parish.  Tropical Storm Hermine then drifted north over southeast Louisiana and was downgraded to a tropical depression 50 miles northwest of New Orleans during the evening of the 20th.  Winds associated with Hermine were of minimal tropical storm force and were mainly contained in squalls.  A peak wind gust of 46 mph in a squall was measured just off the southeast coast of Louisiana at the Burrwood NOAA C-MAN station near the mouth of the Mississippi River at 1139 CST on September 19th.

Two tornadoes developed in rainbands associated with Tropical Storm Hermine on September 20th.  The first tornado occurred around 0730 CST 10 miles south of Poplarville, MS and destroyed two mobile homes, damaged seven cars, and caused one injury.  A second weak tornado briefly touched down near Bay St. Louis, MS around 0850 CST resulting in only minor damage.

Isolated flash flooding also occurred with Tropical Storm Hermine on September 20th when 4 to 5 inches of rain fell on areas of  Walthall county.  Sections of a few roadways in southern Walthall county were briefly under water including Mississippi Highway 27 which was covered by up to a foot of water in places.",6
5670160,JACKSON (ZONE), ,09/19/1998,1800,Tropical Storm, , ,0,0,0,0,MS,CST, ,2150445,Z,82,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,09/20/1998,1500, , , , ,"","A tropical depression that formed in the central Gulf of Mexico on September 17th strengthened to a minimal tropical storm named Hermine on the morning of the 18th.  Tropical Storm Hermine meandered in the Gulf of Mexico for a period of time before beginning a slow north northeast motion that brought it ashore in the early morning hours of the 20th near Cocodrie, LA in Terrebonne Parish.  Tropical Storm Hermine then drifted north over southeast Louisiana and was downgraded to a tropical depression 50 miles northwest of New Orleans during the evening of the 20th.  Winds associated with Hermine were of minimal tropical storm force and were mainly contained in squalls.  A peak wind gust of 46 mph in a squall was measured just off the southeast coast of Louisiana at the Burrwood NOAA C-MAN station near the mouth of the Mississippi River at 1139 CST on September 19th.

Two tornadoes developed in rainbands associated with Tropical Storm Hermine on September 20th.  The first tornado occurred around 0730 CST 10 miles south of Poplarville, MS and destroyed two mobile homes, damaged seven cars, and caused one injury.  A second weak tornado briefly touched down near Bay St. Louis, MS around 0850 CST resulting in only minor damage.

Isolated flash flooding also occurred with Tropical Storm Hermine on September 20th when 4 to 5 inches of rain fell on areas of  Walthall county.  Sections of a few roadways in southern Walthall county were briefly under water including Mississippi Highway 27 which was covered by up to a foot of water in places.",7
5316233,JACKSON (ZONE), ,08/04/2002,1800,Tropical Storm, , ,0,0,50000,0,MS,CST, ,1143238,Z,82,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,08/05/2002,1100, , , , ,"","Tropical Storm Bertha developed over the north central Gulf of Mexico on August 04, 2002 and moved inland over southeast Louisiana during the early morning of August 05, 2002. Bertha was only a minimal tropical storm and no tropical storm force winds were noted at any land stations. The tropical storm was downgraded to a depression shortly after moving inland over southeast Louisiana. Some localized flooding from heavy rainfall developed over coastal Mississippi, especially in Jackson County the morning of August 5th.",8
5316232,HARRISON (ZONE), ,08/04/2002,1800,Tropical Storm, , ,0,0,0,0,MS,CST, ,1143238,Z,81,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,08/05/2002,1100, , , , ,"","Tropical Storm Bertha developed over the north central Gulf of Mexico on August 04, 2002 and moved inland over southeast Louisiana during the early morning of August 05, 2002. Bertha was only a minimal tropical storm and no tropical storm force winds were noted at any land stations. The tropical storm was downgraded to a depression shortly after moving inland over southeast Louisiana. Some localized flooding from heavy rainfall developed over coastal Mississippi, especially in Jackson County the morning of August 5th.",9
5316231,HANCOCK (ZONE), ,08/04/2002,1800,Tropical Storm, , ,0,0,0,0,MS,CST, ,1143238,Z,80,LIX,0,0,EMERGENCY MANAGER, , , , , , , , ,08/05/2002,1100, , , , ,"","Tropical Storm Bertha developed over the north central Gulf of Mexico on August 04, 2002 and moved inland over southeast Louisiana during the early morning of August 05, 2002. Bertha was only a minimal tropical storm and no tropical storm force winds were noted at any land stations. The tropical storm was downgraded to a depression shortly after moving inland over southeast Louisiana. Some localized flooding from heavy rainfall developed over coastal Mississippi, especially in Jackson County the morning of August 5th.",10
