EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1040171,COASTAL NEW HANOVER (ZONE), ,07/02/2022,230,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,171310,Z,108,ILM,0,0,Other Federal Agency, , , , , , , , ,07/02/2022,230, , , , ,"The NOS gauge at Johnny Mercer Pier measured a 42 knot gust.","Tropical Storm Colin formed near the northeast SC and Cape Fear coasts resulting in some gusts to tropical storm force.",1
1057198,BEAUFORT (ZONE), ,09/30/2022,441,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174073,Z,80,MHX,0,0,Mesonet, , , , , , , , ,09/30/2022,441, , , , ,"A 43 mph wind gust was measured from a home weather station near Belhaven.","Ian initially made landfall on the west coast of Florida as a major category 4 hurricane, and then crossed into the Atlantic and moved northward, making a second landfall on the South Carolina coast near Georgetown as a category 1 hurricane. For Eastern NC, tropical storm force winds, elevated water levels, heavy rainfall of 3 to 6 inches, and a tornado were associated with Ian. Strong high pressure over New England and hurricane Ian well to the south combined to produce strong northeast winds well ahead of the actual arrival of Ian in the Carolinas with some elevated water levels. Winds up to tropical storm strength were observed as far north and east as the Outer Banks by late in the day on Wednesday, September 28th. The winds turned southerly and winds to tropical storm strength were observed across portions of Eastern NC on Friday, September 30th as Ian made landfall in South Carolina.",2
1058366,EAST CARTERET (ZONE), ,09/30/2022,441,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174073,Z,196,MHX,0,0,AWOS, , , , , , , , ,09/30/2022,441, , , , ,"Piney Island measured a 53 MPH gust.","Ian initially made landfall on the west coast of Florida as a major category 4 hurricane, and then crossed into the Atlantic and moved northward, making a second landfall on the South Carolina coast near Georgetown as a category 1 hurricane. For Eastern NC, tropical storm force winds, elevated water levels, heavy rainfall of 3 to 6 inches, and a tornado were associated with Ian. Strong high pressure over New England and hurricane Ian well to the south combined to produce strong northeast winds well ahead of the actual arrival of Ian in the Carolinas with some elevated water levels. Winds up to tropical storm strength were observed as far north and east as the Outer Banks by late in the day on Wednesday, September 28th. The winds turned southerly and winds to tropical storm strength were observed across portions of Eastern NC on Friday, September 30th as Ian made landfall in South Carolina.",3
1056992,ROBESON (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,87,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 45 to 55 mph associated with Hurricane Ian resulted in numerous downed trees and powerlines across the county. There were a few thousand without power in several communities in the area. Rainfall amounts averaged 2 to 4 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",4
1057000,COASTAL BRUNSWICK (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,110,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 50 to 70 mph associated with Hurricane Ian resulted in some downed trees and downed power lines. Rainfall amounts averaged 2 to 4 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",5
1056999,INLAND BRUNSWICK (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,109,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 40 to 50 mph associated with Hurricane Ian resulted in some downed trees and isolated downed power lines. Rainfall amounts averaged 2 to 4 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",6
1056998,COASTAL NEW HANOVER (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,108,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 40 to 60 mph associated with Hurricane Ian resulted in some downed trees and isolated downed power lines. Rainfall amounts averaged 3 to 4 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",7
1056997,INLAND NEW HANOVER (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,107,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 40 to 50 mph associated with Hurricane Ian resulted in some downed trees and isolated downed power lines. Rainfall amounts averaged 3 to 4 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",8
1056996,COASTAL PENDER (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,106,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 40 to 50 mph associated with Hurricane Ian resulted in some downed trees and isolated downed power lines. Rainfall amounts averaged 2 to 3 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",9
1056995,INLAND PENDER (ZONE), ,09/30/2022,600,Tropical Storm, , ,0,0,0,0,NC,EST-5, ,174194,Z,105,ILM,0,0,Emergency Manager, , , , , , , , ,09/30/2022,1800, , , , ,"Tropical storm force wind gusts of 40 to 50 mph associated with Hurricane Ian resulted in some downed trees and isolated downed power lines. Rainfall amounts averaged 1 to 3 inches.","Hurricane Ian made landfall along the west coast of Florida on September 28, 2022, then moved across the Florida peninsula and exited off the east coast of Florida on September 29, 2022. Ian then moved north and made a second landfall near Georgetown, SC on September 30, 2022. Ian resulted in a variety of impacts across southeast North Carolina from strong winds to storm surge and an isolated tornado.",10
