EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
136716,SOUTHEAST PROVIDENCE (ZONE), ,09/06/2008,2021,Tropical Storm, , ,0,0,13000,0,RI,EST-5, ,23301,Z,2,BOX,0,0,Amateur Radio, , , , , , , , ,09/06/2008,2050, , , , ,"Tropical Storm Hanna made landfall near the North Carolina/South Carolina border at 320AM EDT September 6.  Hanna then moved north/northeast across the Mid-Atlantic states and southern New England September 6 and 7.  Storm total rainfall in southeast Providence County ranged from four to five inches.  The highest sustained wind of 25 knots (29 mph) and gust of 35 knots (40 mph) were recorded at T.F. Green Providence Airport.  The lowest sea level pressure was 996.0 mb at T.F. Green Providence Airport.  A coastal storm surge of 2 feet above normal tide was experienced at Providence, RI.  No coastal flooding was reported.  Several trees, wires, and a transformer were blown down in southeastern Providence County.  All of the associated effects of Hanna in southeastern Providence County resulted in no loss of life or injuries, and $13K in property damage, all from wind.","Tropical Storm Hanna made landfall near the North Carolina/South Carolina border at 320AM EDT September 6.  Hanna then moved north/northeast across the Mid-Atlantic states and southern New England September 6 and 7.  Storm total rainfall in southern New England ranged from 2.04 inches in Randolph, MA to 6.56 inches in Nashua, NH.  The highest sustained wind of 27 knots (31 mph) was recorded at Nantucket Airport.  The highest wind gust of 37 knots (43 mph) was recorded at Blue Hill Observatory in Milton, MA.  The lowest sea level pressure was 994.5 mb at Conimicut Lighthouse, RI.  A coastal storm surge of 2 feet above normal tide was experienced at Providence, RI.  No coastal flooding was reported.  Minor wind damage was sustained by nearly every county in southern New England.  Significant wind damage occurred in southern Bristol and southern Plymouth Counties in Massachusetts and southeastern Providence County in Rhode Island.  All of the associated effects of Hanna in Southern New England resulted in no loss of life or injuries and $939K in property damage.  The winds caused $23K in property damage.  Inland flooding resulted in $916K in property damage.",1
345177,EASTERN KENT (ZONE), ,08/28/2011,530,Tropical Storm, , ,0,0,15000,0,RI,EST-5, ,57533,Z,4,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1144, , , , ,"Several trees in Warwick were downed, including on Chester Avenue and Post Road.  The Automated Surface Observing System at T.F. Green State Airport (KPVD) recorded sustained wind speeds of 38 knots (44 mph) and gusts to 56 knots (64 mph).","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",2
345178,WESTERN KENT (ZONE), ,08/28/2011,536,Tropical Storm, , ,0,0,50000,0,RI,EST-5, ,57533,Z,3,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,900, , , , ,"Numerous trees, poles, and wires were downed throughout Coventry.  An amateur radio operator recorded a wind gust of 52 knots (60 mph) on their home weather station in Coventry.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",3
345179,NORTHWEST PROVIDENCE (ZONE), ,08/28/2011,550,Tropical Storm, , ,0,0,75000,0,RI,EST-5, ,57533,Z,1,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,900, , , , ,"Numerous trees and telephone poles were downed throughout northwest Providence County including in Lincoln (Smithfield Road), Harrisville (Steere Farm Road), Smithfield (Roger Williams Drive), Scituate (Route 6), Woonsocket, Burrillville (Douglas Pike), and Greenville (Smith Avenue).  One of these trees was downed onto a car.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",4
345180,WASHINGTON (ZONE), ,08/28/2011,558,Tropical Storm, , ,0,0,15000,0,RI,EST-5, ,57533,Z,6,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1105, , , , ,"Trees were downed in Charlestown and Narragansett, including on Boston Neck Road in Narragansett.  The Automated Surface Observing System at Westerly State Airport (KWST) recorded sustained winds of 32 knots (37 mph) and wind gusts to 46 knots (53 mph).","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",5
345182,BRISTOL (ZONE), ,08/28/2011,627,Tropical Storm, , ,0,0,10000,0,RI,EST-5, ,57533,Z,5,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,836, , , , ,"A tree was downed on a house in Warren.  An amateur radio operator recorded a gust of 71 knots (82 mph) on their home weather station in Barrington.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",6
345189,SOUTHEAST PROVIDENCE (ZONE), ,08/28/2011,824,Tropical Storm, , ,0,0,5000,0,RI,EST-5, ,57533,Z,2,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,930, , , , ,"A tree was downed in East Providence on Willett Avenue, blocking the road.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",7
345190,NEWPORT (ZONE), ,08/28/2011,836,Tropical Storm, , ,0,0,20000,0,RI,EST-5, ,57533,Z,7,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,1143, , , , ,"Trees were downed onto wires at the intersection of Rhode Island Avenue and Oakwood Terrace and at the intersection of Bellevue Avenue and East Bowery Street in Newport.  A trained spotter recorded gusts to 51 knots (59 mph) on their home weather station in Newport.  An amateur radio operator recorded gusts to 49 knots (57 mph) on their home weather station in Little Compton.  The Automated Surface Observing Station at Newport State Airport (KUUU) recorded sustained winds of 30 knots (35 mph) and wind gusts to 48 knots (55 mph).","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $0.19M in property damages. ||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",8
660546,WASHINGTON (ZONE), ,09/05/2016,1233,Tropical Storm, , ,0,0,60000,0,RI,EST-5, ,110626,Z,6,BOX,0,0,Mesonet, , , , , , , , ,09/05/2016,1918, , , , ,"The WeatherFlow sites at Point Judith and the University of Rhode Island recorded sustained wind speeds of 36 and 39 knots, respectively.  The National Ocean Service Physical Oceanographic Real Time System at Quonset Point recorded sustained wind speeds of 34 knots.  In Hopkinton, a tree was downed on Woodville Road.  In Charlestown, a tree was downed onto wires on Warren Road.  In Narragansett, Route 138 was closed due to downed wires from Upper Collage Road past Kingstown Road.  A tree was downed onto wires on Middlebridge Road.  In Richmond, wires were downed on White Oak Drive.  Trees and wires were downed on Shannock Hill Road.  In Westerly, wires were downed on Wall Street.  In Ashaway, a tree, wires, and a utility pole were downed on Collins Road, near Kenyon Mill Road.  In Hope Valley, a tree was downed on Chepachet Road.","Hermine was named on August 31st as it intensified to a tropical storm in the Gulf of Mexico. She meandered about in the eastern Gulf of Mexico before moving northeastward across the Florida panhandle, through Georgia and then along the coast of North and South Carolina. She was a hurricane as she made landfall in Florida, then weakened to a tropical storm and finally a tropical depression as she moved off the coast of North Carolina. After moving off the coast of North Carolina, Hermine moved northeast, then north, then west, meandering south of southern New England for several days in early September. ||While classified as a tropical system, Hermine's effects on southern New England were rather minimal. Rainfall added up to less than an inch for most locations and winds were generally below tropical storm force. Because trees were still fully leaved and we had higher wind gusts, there was some wind damage. Storm surge was highest during low tide so we had minimal coastal flooding impacts.",9
660545,BLOCK ISLAND (ZONE), ,09/05/2016,1651,Tropical Storm, , ,0,0,0,0,RI,EST-5, ,110626,Z,8,BOX,0,0,Mesonet, , , , , , , , ,09/05/2016,1751, , , , ,"The WeatherFlow site at Block Island Jetty recorded sustained wind speeds of 41 knots.  No damage was reported.","Hermine was named on August 31st as it intensified to a tropical storm in the Gulf of Mexico. She meandered about in the eastern Gulf of Mexico before moving northeastward across the Florida panhandle, through Georgia and then along the coast of North and South Carolina. She was a hurricane as she made landfall in Florida, then weakened to a tropical storm and finally a tropical depression as she moved off the coast of North Carolina. After moving off the coast of North Carolina, Hermine moved northeast, then north, then west, meandering south of southern New England for several days in early September. ||While classified as a tropical system, Hermine's effects on southern New England were rather minimal. Rainfall added up to less than an inch for most locations and winds were generally below tropical storm force. Because trees were still fully leaved and we had higher wind gusts, there was some wind damage. Storm surge was highest during low tide so we had minimal coastal flooding impacts.",10
