EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5583525,JAMES CITY (ZONE), ,07/12/1996,2000,Hurricane (Typhoon), , ,0,0,0,0,VA,EST, ,2056603,Z,90,AKQ,0,0, , , , , , , , , ,07/13/1996,700, , , , ,"","",1
5583526,YORK (ZONE), ,07/12/1996,2000,Hurricane (Typhoon), , ,0,0,0,0,VA,EST, ,2056603,Z,91,AKQ,0,0, , , , , , , , , ,07/13/1996,700, , , , ,"","",2
5583691,KING AND QUEEN (ZONE), ,09/05/1996,2000,Hurricane (Typhoon), , ,0,0,0,0,VA,EST, ,2056653,Z,73,AKQ,0,0, , , , , , , , , ,09/06/1996,1400, , , , ,"","",3
5583692,WESTMORELAND (ZONE), ,09/05/1996,2000,Hurricane (Typhoon), , ,0,0,0,0,VA,EST, ,2056653,Z,75,AKQ,0,0, , , , , , , , , ,09/06/1996,1400, , , , ,"","",4
5664847,CHESAPEAKE (ZONE), ,08/26/1998,2000,Hurricane (Typhoon), , ,0,1,2100000,400000,VA,EST, ,2148971,Z,97,AKQ,0,0,EMERGENCY MANAGER, , , , , , , , ,08/28/1998,1100, , , , ,"","Hurricane Bonnie moved just offshore of southeast Virginia on August 27th and 28th. Very strong winds and heavy rains associated with Bonnie's spiral bands hammered the Hampton Roads area Thursday evening into Friday morning. The highest sustained wind speed recorded was 81 mph at Cape Henry (anemometer elevation is 90 ft). Other sustained wind speeds were 78 mph at the Chesapeake Light Station Buoy just offshore (anemometer elevation is 90 ft), 53 mph at Langley Air Force Base, and 46 mph at the Norfolk International Airport. The highest gusts recorded were 104 mph at Cape Henry, 93 mph at the Chesapeake Light Station Buoy, 67 mph at Langley Air Force Base, and 64 mph at the Norfolk International Airport. Widespread power outages (up to 250,000 customers/750,000 people) were reported in the Hampton Roads area, along with reports of numerous trees down, trees down on homes, power lines down and some structural damage due to wind. Many windows were reported to have been blown out of hotels along the Virginia Beach oceanfront by the high winds. Some street flooding occurred in Norfolk, Virginia Beach, and Portsmouth due to heavy rain and a 2 to 4 foot storm surge. The peak tidal departure at Sewells Point in Norfolk was 3.5 feet above normal or 6.0 feet above MLLW. This resulted in moderate coastal flooding at the time of high tide. Rainfall amounts generally ranged from 1 to 3 inches across the Hampton Roads area with isolated amounts of 4 to 7 inches occurring in the Norfolk-Virginia Beach area. The lowest sea level pressure recorded was 999 mb at the Oceana Naval Air Station.",5
5664939,YORK / POQUOSON (ZONE), ,08/26/1998,2000,Hurricane (Typhoon), , ,0,0,15000,0,VA,EST, ,2148971,Z,91,AKQ,0,0,EMERGENCY MANAGER, , , , , , , , ,08/28/1998,1100, , , , ,"","Hurricane Bonnie moved just offshore of southeast Virginia on August 27th and 28th. Very strong winds and heavy rains associated with Bonnie's spiral bands hammered the Hampton Roads area Thursday evening into Friday morning. The highest sustained wind speed recorded was 81 mph at Cape Henry (anemometer elevation is 90 ft). Other sustained wind speeds were 78 mph at the Chesapeake Light Station Buoy just offshore (anemometer elevation is 90 ft), 53 mph at Langley Air Force Base, and 46 mph at the Norfolk International Airport. The highest gusts recorded were 104 mph at Cape Henry, 93 mph at the Chesapeake Light Station Buoy, 67 mph at Langley Air Force Base, and 64 mph at the Norfolk International Airport. Widespread power outages (up to 250,000 customers/750,000 people) were reported in the Hampton Roads area, along with reports of numerous trees down, trees down on homes, power lines down and some structural damage due to wind. Many windows were reported to have been blown out of hotels along the Virginia Beach oceanfront by the high winds. Some street flooding occurred in Norfolk, Virginia Beach, and Portsmouth due to heavy rain and a 2 to 4 foot storm surge. The peak tidal departure at Sewells Point in Norfolk was 3.5 feet above normal or 6.0 feet above MLLW. This resulted in moderate coastal flooding at the time of high tide. Rainfall amounts generally ranged from 1 to 3 inches across the Hampton Roads area with isolated amounts of 4 to 7 inches occurring in the Norfolk-Virginia Beach area. The lowest sea level pressure recorded was 999 mb at the Oceana Naval Air Station.",6
5664846,NORFOLK / HAMPTON / PORTSMOUTH (ZONE), ,08/26/1998,2000,Hurricane (Typhoon), , ,0,0,9000000,12000,VA,EST, ,2148971,Z,95,AKQ,0,0,EMERGENCY MANAGER, , , , , , , , ,08/28/1998,1100, , , , ,"","Hurricane Bonnie moved just offshore of southeast Virginia on August 27th and 28th. Very strong winds and heavy rains associated with Bonnie's spiral bands hammered the Hampton Roads area Thursday evening into Friday morning. The highest sustained wind speed recorded was 81 mph at Cape Henry (anemometer elevation is 90 ft). Other sustained wind speeds were 78 mph at the Chesapeake Light Station Buoy just offshore (anemometer elevation is 90 ft), 53 mph at Langley Air Force Base, and 46 mph at the Norfolk International Airport. The highest gusts recorded were 104 mph at Cape Henry, 93 mph at the Chesapeake Light Station Buoy, 67 mph at Langley Air Force Base, and 64 mph at the Norfolk International Airport. Widespread power outages (up to 250,000 customers/750,000 people) were reported in the Hampton Roads area, along with reports of numerous trees down, trees down on homes, power lines down and some structural damage due to wind. Many windows were reported to have been blown out of hotels along the Virginia Beach oceanfront by the high winds. Some street flooding occurred in Norfolk, Virginia Beach, and Portsmouth due to heavy rain and a 2 to 4 foot storm surge. The peak tidal departure at Sewells Point in Norfolk was 3.5 feet above normal or 6.0 feet above MLLW. This resulted in moderate coastal flooding at the time of high tide. Rainfall amounts generally ranged from 1 to 3 inches across the Hampton Roads area with isolated amounts of 4 to 7 inches occurring in the Norfolk-Virginia Beach area. The lowest sea level pressure recorded was 999 mb at the Oceana Naval Air Station.",7
5664845,NEWPORT NEWS (ZONE), ,08/26/1998,2000,Hurricane (Typhoon), , ,0,0,132000,0,VA,EST, ,2148971,Z,94,AKQ,0,0,EMERGENCY MANAGER, , , , , , , , ,08/28/1998,1100, , , , ,"","Hurricane Bonnie moved just offshore of southeast Virginia on August 27th and 28th. Very strong winds and heavy rains associated with Bonnie's spiral bands hammered the Hampton Roads area Thursday evening into Friday morning. The highest sustained wind speed recorded was 81 mph at Cape Henry (anemometer elevation is 90 ft). Other sustained wind speeds were 78 mph at the Chesapeake Light Station Buoy just offshore (anemometer elevation is 90 ft), 53 mph at Langley Air Force Base, and 46 mph at the Norfolk International Airport. The highest gusts recorded were 104 mph at Cape Henry, 93 mph at the Chesapeake Light Station Buoy, 67 mph at Langley Air Force Base, and 64 mph at the Norfolk International Airport. Widespread power outages (up to 250,000 customers/750,000 people) were reported in the Hampton Roads area, along with reports of numerous trees down, trees down on homes, power lines down and some structural damage due to wind. Many windows were reported to have been blown out of hotels along the Virginia Beach oceanfront by the high winds. Some street flooding occurred in Norfolk, Virginia Beach, and Portsmouth due to heavy rain and a 2 to 4 foot storm surge. The peak tidal departure at Sewells Point in Norfolk was 3.5 feet above normal or 6.0 feet above MLLW. This resulted in moderate coastal flooding at the time of high tide. Rainfall amounts generally ranged from 1 to 3 inches across the Hampton Roads area with isolated amounts of 4 to 7 inches occurring in the Norfolk-Virginia Beach area. The lowest sea level pressure recorded was 999 mb at the Oceana Naval Air Station.",8
5664849,VIRGINIA BEACH (ZONE), ,08/26/1998,2000,Hurricane (Typhoon), , ,0,3,11500000,1700000,VA,EST, ,2148971,Z,98,AKQ,0,0,EMERGENCY MANAGER, , , , , , , , ,08/28/1998,1100, , , , ,"","Hurricane Bonnie moved just offshore of southeast Virginia on August 27th and 28th. Very strong winds and heavy rains associated with Bonnie's spiral bands hammered the Hampton Roads area Thursday evening into Friday morning. The highest sustained wind speed recorded was 81 mph at Cape Henry (anemometer elevation is 90 ft). Other sustained wind speeds were 78 mph at the Chesapeake Light Station Buoy just offshore (anemometer elevation is 90 ft), 53 mph at Langley Air Force Base, and 46 mph at the Norfolk International Airport. The highest gusts recorded were 104 mph at Cape Henry, 93 mph at the Chesapeake Light Station Buoy, 67 mph at Langley Air Force Base, and 64 mph at the Norfolk International Airport. Widespread power outages (up to 250,000 customers/750,000 people) were reported in the Hampton Roads area, along with reports of numerous trees down, trees down on homes, power lines down and some structural damage due to wind. Many windows were reported to have been blown out of hotels along the Virginia Beach oceanfront by the high winds. Some street flooding occurred in Norfolk, Virginia Beach, and Portsmouth due to heavy rain and a 2 to 4 foot storm surge. The peak tidal departure at Sewells Point in Norfolk was 3.5 feet above normal or 6.0 feet above MLLW. This resulted in moderate coastal flooding at the time of high tide. Rainfall amounts generally ranged from 1 to 3 inches across the Hampton Roads area with isolated amounts of 4 to 7 inches occurring in the Norfolk-Virginia Beach area. The lowest sea level pressure recorded was 999 mb at the Oceana Naval Air Station.",9
5664848,SUFFOLK (ZONE), ,08/26/1998,2000,Hurricane (Typhoon), , ,0,0,800000,1000000,VA,EST, ,2148971,Z,96,AKQ,0,0,EMERGENCY MANAGER, , , , , , , , ,08/28/1998,1100, , , , ,"","Hurricane Bonnie moved just offshore of southeast Virginia on August 27th and 28th. Very strong winds and heavy rains associated with Bonnie's spiral bands hammered the Hampton Roads area Thursday evening into Friday morning. The highest sustained wind speed recorded was 81 mph at Cape Henry (anemometer elevation is 90 ft). Other sustained wind speeds were 78 mph at the Chesapeake Light Station Buoy just offshore (anemometer elevation is 90 ft), 53 mph at Langley Air Force Base, and 46 mph at the Norfolk International Airport. The highest gusts recorded were 104 mph at Cape Henry, 93 mph at the Chesapeake Light Station Buoy, 67 mph at Langley Air Force Base, and 64 mph at the Norfolk International Airport. Widespread power outages (up to 250,000 customers/750,000 people) were reported in the Hampton Roads area, along with reports of numerous trees down, trees down on homes, power lines down and some structural damage due to wind. Many windows were reported to have been blown out of hotels along the Virginia Beach oceanfront by the high winds. Some street flooding occurred in Norfolk, Virginia Beach, and Portsmouth due to heavy rain and a 2 to 4 foot storm surge. The peak tidal departure at Sewells Point in Norfolk was 3.5 feet above normal or 6.0 feet above MLLW. This resulted in moderate coastal flooding at the time of high tide. Rainfall amounts generally ranged from 1 to 3 inches across the Hampton Roads area with isolated amounts of 4 to 7 inches occurring in the Norfolk-Virginia Beach area. The lowest sea level pressure recorded was 999 mb at the Oceana Naval Air Station.",10
