,Name,storm_name,year,Begin Date,End Date,time,date,day,time_only,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,lat,lon,elevation,vmax,min_windspeed_10m,max_windspeed_10m,avg_windspeed_10m,min_windspeed_100m,max_windspeed_100m,avg_windspeed_100m,min_winddirection_10m,max_winddirection_10m,avg_winddirection_10m,min_winddirection_100m,max_winddirection_100m,avg_winddirection_100m,min_windgusts_10m,max_windgusts_10m,avg_windgusts_10m,mslp,min_pressure_msl,max_pressure_msl,avg_pressure_msl,min_surface_pressure,max_surface_pressure,avg_surface_pressure,min_vapor_pressure_deficit,max_vapor_pressure_deficit,avg_vapor_pressure_deficit,min_precipitation,min_rain,max_precipitation,max_rain,avg_precipitation,avg_rain,min_temperature_2m,max_temperature_2m,avg_temperature_2m,min_apparent_temperature,max_apparent_temperature,avg_apparent_temperature,min_soil_temperature_0_to_7cm,max_soil_temperature_0_to_7cm,avg_soil_temperature_0_to_7cm,min_soil_temperature_7_to_28cm,max_soil_temperature_7_to_28cm,avg_soil_temperature_7_to_28cm,min_soil_temperature_28_to_100cm,max_soil_temperature_28_to_100cm,avg_soil_temperature_28_to_100cm,min_soil_temperature_100_to_255cm,max_soil_temperature_100_to_255cm,avg_soil_temperature_100_to_255cm,min_relativehumidity_2m,max_relativehumidity_2m,avg_relativehumidity_2m,min_dewpoint_2m,max_dewpoint_2m,avg_dewpoint_2m,min_soil_moisture_0_to_7cm,max_soil_moisture_0_to_7cm,max_soil_moisture_0_to_7cm,min_soil_moisture_7_to_28cm,max_soil_moisture_7_to_28cm,avg_soil_moisture_7_to_28cm,min_soil_moisture_28_to_100cm,max_soil_moisture_28_to_100cm,max_soil_moisture_28_to_100cm,min_soil_moisture_100_to_255cm,max_soil_moisture_100_to_255cm,avg_soil_moisture_100_to_255cm,min_cloudcover,max_cloudcover,avg_cloudcover,min_cloudcover_low,max_cloudcover_low,avg_cloudcover_low,min_cloudcover_mid,max_cloudcover_mid,avg_cloudcover_mid,min_cloudcover_high,max_cloudcover_high,avg_cloudcover_high,min_et0_fao_evapotranspiration,max_et0_fao_evapotranspiration,avg_et0_fao_evapotranspiration,min_weathercode,max_weathercode,avg_weathercode
0,Hurricane Georges (September 1998),Georges,1998,9/20/1998,9/29/1998,9/16/1998 0:00,9/16/1998,16,0:00:00,11191.0,16,10.0,-28.1,,30,20.6,39.2,32.03,22.4,45.0,36.17,1.0,342.0,147.04,1.0,342.0,147.46,29.5,54.4,43.15,1009.0,1009.4,1014.5,1011.89,1009.4,1014.5,1011.89,0.3,0.79,0.55,0.0,0.0,13.4,13.4,2.68,2.68,25.5,27.7,26.68,26.3,30.2,28.02,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,78,91,84.5,23.4,24.2,23.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,100.0,71.04,6.0,66.0,30.96,3.0,96.0,46.21,0.0,100.0,66.5,0.03,0.4,0.14,1.0,65.0,30.71
1,Tropical Storm Isidore (September 2002),Isidore,2002,9/25/2002,9/27/2002,9/14/2002 18:00,9/14/2002,14,18:00:00,1943.5,5,10.0,-60.5,0.0,25,2.9,26.5,13.76,2.9,29.3,14.85,31.0,180.0,84.46,31.0,180.0,84.79,8.6,40.7,22.08,1009.0,1008.7,1013.1,1010.88,1008.7,1013.1,1010.88,0.34,0.84,0.62,0.0,0.0,2.8,2.8,0.4,0.4,25.6,27.5,26.71,28.2,32.4,30.47,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,77,90,82.29,23.0,24.0,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,62.04,0.0,97.0,40.08,0.0,46.0,11.92,2.0,100.0,76.21,0.03,0.39,0.12,0.0,63.0,25.79
2,Hurricane Lili (October 2002),Lili,2002,8/1/2002,8/5/2002,9/21/2002 18:00,9/21/2002,21,18:00:00,1866.6,2,10.2,-44.6,,25,7.2,30.9,17.28,7.6,34.7,18.72,81.0,196.0,160.25,81.0,196.0,160.21,8.6,39.2,24.03,1009.0,1010.9,1013.8,1012.2,1010.9,1013.8,1012.2,0.31,1.09,0.64,0.0,0.0,1.5,1.5,0.32,0.32,25.1,27.8,26.31,27.6,30.2,29.26,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,70,90,81.75,21.7,23.5,22.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,89.0,63.46,2.0,52.0,22.46,5.0,92.0,24.29,53.0,100.0,95.46,0.01,0.4,0.15,2.0,61.0,39.54
3,Hurricane Ivan (September 2004),Ivan,2004,9/12/2004,9/21/2004,9/5/2004 18:00,9/5/2004,5,18:00:00,33005.8,57,10.2,-46.8,,110,18.6,62.2,35.68,19.6,76.4,41.02,5.0,167.0,59.79,6.0,167.0,60.21,31.7,90.4,51.42,955.0,1001.1,1013.1,1008.02,1001.1,1013.1,1008.02,0.29,0.8,0.48,0.0,0.0,6.4,6.4,1.44,1.44,25.8,28.0,26.7,24.1,30.2,27.77,29.7,29.9,29.88,29.9,30.0,29.94,29.9,30.0,29.94,29.9,30.0,29.94,79,91,86.5,23.5,25.2,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,60.58,8.0,97.0,27.71,8.0,74.0,27.83,0.0,100.0,72.21,0.02,0.27,0.11,1.0,63.0,53.92
4,Tropical Storm Isidore (September 2002),Isidore,2002,9/25/2002,9/27/2002,9/15/2002 0:00,9/15/2002,15,0:00:00,1943.5,5,10.2,-62.4,0.0,25,6.2,16.0,11.18,10.5,25.7,17.16,69.0,124.0,101.17,68.0,121.0,101.12,9.0,42.5,24.15,1009.0,1010.0,1013.8,1011.43,1010.0,1013.8,1011.43,0.09,1.03,0.45,0.0,0.0,1.5,1.5,0.26,0.26,24.6,29.7,26.45,29.2,35.0,31.12,25.3,29.6,26.84,26.6,27.5,27.02,27.0,27.0,27.0,26.7,26.7,26.7,75,97,87.46,23.4,25.2,24.17,0.47,0.52,0.52,0.49,0.5,0.5,0.49,0.49,0.49,0.5,0.5,0.5,26.0,94.0,55.12,4.0,40.0,17.25,2.0,81.0,21.08,58.0,100.0,90.04,0.0,0.51,0.14,1.0,61.0,33.17
5,Hurricane Georges (September 1998),Georges,1998,9/20/1998,9/29/1998,9/16/1998 6:00,9/16/1998,16,6:00:00,11191.0,16,10.3,-29.7,,30,17.8,33.2,28.62,19.1,37.9,31.92,1.0,357.0,187.21,2.0,357.0,187.38,28.1,46.4,40.3,1009.0,1010.0,1014.4,1011.87,1010.0,1014.4,1011.87,0.28,0.78,0.47,0.0,0.0,13.1,13.1,3.54,3.54,25.0,27.5,26.22,26.2,30.1,27.96,28.4,28.4,28.4,28.3,28.4,28.36,28.3,28.4,28.36,28.3,28.4,28.36,79,91,86.38,22.9,24.3,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.0,74.33,4.0,75.0,32.54,0.0,99.0,55.75,0.0,100.0,65.29,0.03,0.31,0.1,1.0,65.0,41.42
6,Hurricane Dorian (September 2019),Dorian,2019,8/28/2019,9/6/2019,8/24/2019 6:00,8/24/2019,24,6:00:00,1915.9,10,10.3,-46.4,,25,7.6,31.8,19.59,8.0,35.5,21.35,8.0,320.0,155.46,10.0,322.0,155.83,6.1,43.2,27.97,1011.0,1012.2,1015.6,1013.97,1012.2,1015.6,1013.97,0.29,0.7,0.49,0.0,0.0,9.7,9.7,2.23,2.23,24.9,27.2,25.85,26.6,30.1,28.61,28.6,28.8,28.62,28.5,28.6,28.56,28.5,28.6,28.56,28.5,28.6,28.56,80,91,85.29,22.7,23.8,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.0,78.33,9.0,97.0,40.5,13.0,97.0,58.12,42.0,100.0,70.71,0.01,0.31,0.1,1.0,65.0,42.33
7,Hurricane Lili (October 2002),Lili,2002,8/1/2002,8/5/2002,9/22/2002 0:00,9/22/2002,22,0:00:00,1866.6,2,10.3,-46.5,,30,15.2,28.9,22.61,16.1,31.7,24.5,57.0,161.0,126.08,57.0,161.0,126.21,24.5,41.4,33.6,1007.0,1011.4,1014.5,1012.62,1011.4,1014.5,1012.62,0.28,0.79,0.51,0.0,0.0,3.1,3.1,1.1,1.1,25.2,27.6,26.24,26.8,31.0,28.75,29.1,29.3,29.28,29.3,29.4,29.34,29.3,29.4,29.34,29.3,29.4,29.34,79,91,85.17,23.1,23.9,23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,100.0,62.29,1.0,72.0,23.75,1.0,93.0,22.62,97.0,100.0,98.96,0.02,0.39,0.13,1.0,63.0,41.79
8,Hurricane Dorian (September 2019),Dorian,2019,8/28/2019,9/6/2019,8/24/2019 12:00,8/24/2019,24,12:00:00,1915.9,10,10.4,-47.5,,30,9.6,29.3,21.8,10.3,32.5,23.9,25.0,176.0,86.71,25.0,175.0,86.46,10.4,43.9,28.53,1010.0,1012.3,1015.8,1013.87,1012.3,1015.8,1013.87,0.29,0.7,0.5,0.0,0.0,6.1,6.1,1.81,1.81,25.1,27.1,26.08,27.1,30.3,28.63,28.5,28.5,28.5,28.4,28.5,28.46,28.4,28.5,28.46,28.4,28.5,28.46,81,91,85.17,23.0,23.8,23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0,73.54,1.0,87.0,29.88,9.0,99.0,46.21,36.0,100.0,86.12,0.02,0.16,0.07,1.0,63.0,41.92
9,Hurricane Georges (September 1998),Georges,1998,9/20/1998,9/29/1998,9/16/1998 12:00,9/16/1998,16,12:00:00,11191.0,16,10.6,-31.3,,35,0.7,25.6,17.65,0.8,28.2,19.08,6.0,360.0,189.08,6.0,359.0,175.08,9.7,37.1,27.9,1005.0,1010.4,1015.3,1012.37,1010.4,1015.3,1012.37,0.32,0.67,0.47,0.0,0.0,6.8,6.8,2.12,2.12,25.1,26.7,25.8,27.2,31.5,28.88,28.5,28.5,28.5,28.4,28.5,28.46,28.4,28.5,28.46,28.4,28.5,28.46,81,90,85.92,22.8,23.9,23.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,94.79,1.0,99.0,43.71,27.0,99.0,76.21,52.0,100.0,90.71,0.01,0.12,0.06,2.0,63.0,50.12
