,time,extra_obs,special,type,lat,lon,vmax,mslp,wmo_basin,storm_name
0,1980-07-31 12:00:00,0,,DB,11.0,-30.0,25,,north_atlantic,Allen
1,1980-07-31 18:00:00,0,,DB,10.9,-32.2,25,,north_atlantic,Allen
2,1980-08-01 00:00:00,0,,TD,10.8,-34.3,30,1010.0,north_atlantic,Allen
3,1980-08-01 06:00:00,0,,TD,10.7,-36.4,30,1009.0,north_atlantic,Allen
4,1980-08-01 12:00:00,0,,TD,10.7,-38.6,30,1008.0,north_atlantic,Allen
5,1980-08-01 18:00:00,0,,TD,10.7,-40.7,30,1006.0,north_atlantic,Allen
6,1980-08-02 00:00:00,0,,TS,11.0,-42.8,35,1005.0,north_atlantic,Allen
7,1980-08-02 06:00:00,0,,TS,11.4,-44.8,45,1000.0,north_atlantic,Allen
8,1980-08-02 12:00:00,0,,TS,11.9,-46.9,55,995.0,north_atlantic,Allen
9,1980-08-02 18:00:00,0,,TS,12.3,-49.1,60,990.0,north_atlantic,Allen
10,1980-08-03 00:00:00,0,,HU,12.4,-51.4,65,985.0,north_atlantic,Allen
11,1980-08-03 06:00:00,0,,HU,12.6,-53.6,70,980.0,north_atlantic,Allen
12,1980-08-03 12:00:00,0,,HU,12.8,-55.6,80,975.0,north_atlantic,Allen
13,1980-08-03 18:00:00,0,,HU,12.9,-57.5,95,965.0,north_atlantic,Allen
14,1980-08-04 00:00:00,0,,HU,13.3,-59.1,110,950.0,north_atlantic,Allen
15,1980-08-04 06:00:00,0,,HU,13.6,-61.0,115,948.0,north_atlantic,Allen
16,1980-08-04 12:00:00,0,,HU,14.0,-63.0,125,945.0,north_atlantic,Allen
17,1980-08-04 18:00:00,0,,HU,14.4,-64.9,130,930.0,north_atlantic,Allen
18,1980-08-05 00:00:00,0,,HU,14.8,-66.7,140,911.0,north_atlantic,Allen
19,1980-08-05 06:00:00,0,,HU,15.4,-68.6,145,916.0,north_atlantic,Allen
20,1980-08-05 12:00:00,0,,HU,15.9,-70.5,155,932.0,north_atlantic,Allen
21,1980-08-05 18:00:00,0,,HU,16.5,-72.3,150,940.0,north_atlantic,Allen
22,1980-08-06 00:00:00,0,,HU,17.8,-73.8,140,945.0,north_atlantic,Allen
23,1980-08-06 06:00:00,0,,HU,18.3,-75.9,115,955.0,north_atlantic,Allen
24,1980-08-06 12:00:00,0,,HU,19.2,-78.0,115,955.0,north_atlantic,Allen
25,1980-08-06 18:00:00,0,,HU,20.0,-80.1,125,955.0,north_atlantic,Allen
26,1980-08-07 00:00:00,0,,HU,20.1,-81.9,135,945.0,north_atlantic,Allen
27,1980-08-07 06:00:00,0,,HU,20.4,-83.6,145,935.0,north_atlantic,Allen
28,1980-08-07 12:00:00,0,,HU,21.0,-84.8,155,910.0,north_atlantic,Allen
29,1980-08-07 18:00:00,0,,HU,21.8,-86.4,165,899.0,north_atlantic,Allen
30,1980-08-08 00:00:00,0,,HU,22.2,-87.9,155,920.0,north_atlantic,Allen
31,1980-08-08 06:00:00,0,,HU,22.8,-89.2,130,945.0,north_atlantic,Allen
