ID,time,extra_obs,special,type,lat,lon,vmax,mslp,wmo_basin,storm_name,year,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,name,elevation,new_elevation,date,time_only,day,month,min_temperature_2m,min_relativehumidity_2m,min_dewpoint_2m,min_apparent_temperature,min_precipitationmin_,min_rain,min_snowfall,min_snow_depth,min_weathercode,min_pressure_msl,min_surface_pressure,min_cloudcover,min_cloudcover_low,min_cloudcover_mid,min_cloudcover_high,min_et0_fao_evapotranspiration,min_vapor_pressure_deficit,min_windspeed_10m,min_windspeed_100m,min_winddirection_10m,min_winddirection_100m,min_windgusts_10m,min_soil_temperature_0_to_7cm,min_soil_temperature_7_to_28cm,min_soil_temperature_28_to_100cm,min_soil_temperature_100_to_255cm,min_soil_moisture_0_to_7cm,min_soil_moisture_7_to_28cm,min_soil_moisture_28_to_100cm,min_soil_moisture_100_to_255cm,max_temperature_2m,max_relativehumidity_2m,max_dewpoint_2m,max_apparent_temperature,max_precipitation,max_rain,max_snowfall,max_snow_depth,max_weathercode,max_pressure_msl,max_surface_pressure,max_cloudcover,max_cloudcover_low,max_cloudcover_mid,max_cloudcover_high,max_et0_fao_evapotranspiration,max_vapor_pressure_deficit,max_windspeed_10m,max_windspeed_100m,max_winddirection_10m,max_winddirection_100m,max_windgusts_10m,max_soil_temperature_0_to_7cm,max_soil_temperature_7_to_28cm,max_soil_temperature_28_to_100cm,max_soil_temperature_100_to_255cm,max_soil_moisture_0_to_7cm,max_soil_moisture_7_to_28cm,max_soil_moisture_28_to_100cm,max_soil_moisture_100_to_255cm,avg_temperature_2m,avg_relativehumidity_2m,avg_dewpoint_2m,avg_apparent_temperature,avg_precipitation,avg_rain,avg_snowfall,avg_snow_depth,avg_weathercode,avg_pressure_msl,avg_surface_pressure,avg_cloudcover,avg_cloudcover_low,avg_cloudcover_mid,avg_cloudcover_high,avg_et0_fao_evapotranspiration,avg_vapor_pressure_deficit,avg_windspeed_10m,avg_windspeed_100m,avg_winddirection_10m,avg_winddirection_100m,avg_windgusts_10m,avg_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,avg_soil_temperature_28_to_100cm,avg_soil_temperature_100_to_255cm,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,avg_soil_moisture_100_to_255cm,min_precipitation
804,9/16/1998 0:00,0,,TD,10.0,-28.1,30,1009.0,north_atlantic,Georges,1998,Hurricane Georges (September 1998),Tropical Cyclone,9/20/1998,9/29/1998,11191.0,16,Georges,,0,9/16/1998,0:00:00,16,9,25.5,78,23.4,26.3,,0.0,0.0,,1.0,1009.4,1009.4,22.0,6.0,3.0,0.0,0.03,0.3,20.6,22.4,1.0,1.0,29.5,28.4,28.4,28.4,28.4,0.0,0.0,0.0,0.0,27.7,91,24.2,30.2,13.4,13.4,0.0,,65.0,1014.5,1014.5,100.0,66.0,96.0,100.0,0.4,0.79,39.2,45.0,342.0,342.0,54.4,28.4,28.4,28.4,28.4,0.0,0.0,0.0,0.0,26.68,84.5,23.83,28.02,2.68,2.68,0.0,,30.71,1011.89,1011.89,71.04,30.96,46.21,66.5,0.14,0.55,32.03,36.17,147.04,147.46,43.15,28.4,28.4,28.4,28.4,0.0,0.0,0.0,0.0,0.0
980,9/14/2002 18:00,0,,TD,10.0,-60.5,25,1009.0,north_atlantic,Isidore,2002,Tropical Storm Isidore (September 2002),Tropical Cyclone,9/25/2002,9/27/2002,1943.5,5,Isidore,0.0,0,9/14/2002,18:00:00,14,9,25.6,77,23.0,28.2,,0.0,0.0,,0.0,1008.7,1008.7,14.0,0.0,0.0,2.0,0.03,0.34,2.9,2.9,31.0,31.0,8.6,29.4,29.4,29.4,29.4,0.0,0.0,0.0,0.0,27.5,90,24.0,32.4,2.8,2.8,0.0,,63.0,1013.1,1013.1,100.0,97.0,46.0,100.0,0.39,0.84,26.5,29.3,180.0,180.0,40.7,29.4,29.4,29.4,29.4,0.0,0.0,0.0,0.0,26.71,82.29,23.44,30.47,0.4,0.4,0.0,,25.79,1010.88,1010.88,62.04,40.08,11.92,76.21,0.12,0.62,13.76,14.85,84.46,84.79,22.08,29.4,29.4,29.4,29.4,0.0,0.0,0.0,0.0,0.0
923,9/21/2002 18:00,0,,TD,10.2,-44.6,25,1009.0,north_atlantic,Lili,2002,Hurricane Lili (October 2002),Tropical Cyclone,8/1/2002,8/5/2002,1866.6,2,Lili,,0,9/21/2002,18:00:00,21,9,25.1,70,21.7,27.6,,0.0,0.0,,2.0,1010.9,1010.9,50.0,2.0,5.0,53.0,0.01,0.31,7.2,7.6,81.0,81.0,8.6,28.9,28.9,28.9,28.9,0.0,0.0,0.0,0.0,27.8,90,23.5,30.2,1.5,1.5,0.0,,61.0,1013.8,1013.8,89.0,52.0,92.0,100.0,0.4,1.09,30.9,34.7,196.0,196.0,39.2,28.9,28.9,28.9,28.9,0.0,0.0,0.0,0.0,26.31,81.75,22.88,29.26,0.32,0.32,0.0,,39.54,1012.2,1012.2,63.46,22.46,24.29,95.46,0.15,0.64,17.28,18.72,160.25,160.21,24.03,28.9,28.9,28.9,28.9,0.0,0.0,0.0,0.0,0.0
1135,9/5/2004 18:00,0,,HU,10.2,-46.8,110,955.0,north_atlantic,Ivan,2004,Hurricane Ivan (September 2004),Tropical Cyclone,9/12/2004,9/21/2004,33005.8,57,Ivan,,0,9/5/2004,18:00:00,5,9,25.8,79,23.5,24.1,,0.0,0.0,,1.0,1001.1,1001.1,25.0,8.0,8.0,0.0,0.02,0.29,18.6,19.6,5.0,6.0,31.7,29.7,29.9,29.9,29.9,0.0,0.0,0.0,0.0,28.0,91,25.2,30.2,6.4,6.4,0.0,,63.0,1013.1,1013.1,100.0,97.0,74.0,100.0,0.27,0.8,62.2,76.4,167.0,167.0,90.4,29.9,30.0,30.0,30.0,0.0,0.0,0.0,0.0,26.7,86.5,24.26,27.77,1.44,1.44,0.0,,53.92,1008.02,1008.02,60.58,27.71,27.83,72.21,0.11,0.48,35.68,41.02,59.79,60.21,51.42,29.88,29.94,29.94,29.94,0.0,0.0,0.0,0.0,0.0
981,9/15/2002 0:00,0,,TD,10.2,-62.4,25,1009.0,north_atlantic,Isidore,2002,Tropical Storm Isidore (September 2002),Tropical Cyclone,9/25/2002,9/27/2002,1943.5,5,Isidore,0.0,0,9/15/2002,0:00:00,15,9,24.6,75,23.4,29.2,,0.0,0.0,0.0,1.0,1010.0,1010.0,26.0,4.0,2.0,58.0,0.0,0.09,6.2,10.5,69.0,68.0,9.0,25.3,26.6,27.0,26.7,0.47,0.49,0.49,0.5,29.7,97,25.2,35.0,1.5,1.5,0.0,0.0,61.0,1013.8,1013.8,94.0,40.0,81.0,100.0,0.51,1.03,16.0,25.7,124.0,121.0,42.5,29.6,27.5,27.0,26.7,0.52,0.5,0.49,0.5,26.45,87.46,24.17,31.12,0.26,0.26,0.0,0.0,33.17,1011.43,1011.43,55.12,17.25,21.08,90.04,0.14,0.45,11.18,17.16,101.17,101.12,24.15,26.84,27.02,27.0,26.7,0.5,0.5,0.49,0.5,0.0
805,9/16/1998 6:00,0,,TD,10.3,-29.7,30,1009.0,north_atlantic,Georges,1998,Hurricane Georges (September 1998),Tropical Cyclone,9/20/1998,9/29/1998,11191.0,16,Georges,,0,9/16/1998,6:00:00,16,9,25.0,79,22.9,26.2,,0.0,0.0,,1.0,1010.0,1010.0,32.0,4.0,0.0,0.0,0.03,0.28,17.8,19.1,1.0,2.0,28.1,28.4,28.3,28.3,28.3,0.0,0.0,0.0,0.0,27.5,91,24.3,30.1,13.1,13.1,0.0,,65.0,1014.4,1014.4,100.0,75.0,99.0,100.0,0.31,0.78,33.2,37.9,357.0,357.0,46.4,28.4,28.4,28.4,28.4,0.0,0.0,0.0,0.0,26.22,86.38,23.73,27.96,3.54,3.54,0.0,,41.42,1011.87,1011.87,74.33,32.54,55.75,65.29,0.1,0.47,28.62,31.92,187.21,187.38,40.3,28.4,28.36,28.36,28.36,0.0,0.0,0.0,0.0,0.0
2142,8/24/2019 6:00,0,,TD,10.3,-46.4,25,1011.0,north_atlantic,Dorian,2019,Hurricane Dorian (September 2019),Tropical Cyclone,8/28/2019,9/6/2019,1915.9,10,Dorian,,0,8/24/2019,6:00:00,24,8,24.9,80,22.7,26.6,,0.0,0.0,,1.0,1012.2,1012.2,32.0,9.0,13.0,42.0,0.01,0.29,7.6,8.0,8.0,10.0,6.1,28.6,28.5,28.5,28.5,0.0,0.0,0.0,0.0,27.2,91,23.8,30.1,9.7,9.7,0.0,,65.0,1015.6,1015.6,100.0,97.0,97.0,100.0,0.31,0.7,31.8,35.5,320.0,322.0,43.2,28.8,28.6,28.6,28.6,0.0,0.0,0.0,0.0,25.85,85.29,23.2,28.61,2.23,2.23,0.0,,42.33,1013.97,1013.97,78.33,40.5,58.12,70.71,0.1,0.49,19.59,21.35,155.46,155.83,27.97,28.62,28.56,28.56,28.56,0.0,0.0,0.0,0.0,0.0
924,9/22/2002 0:00,0,,TD,10.3,-46.5,30,1007.0,north_atlantic,Lili,2002,Hurricane Lili (October 2002),Tropical Cyclone,8/1/2002,8/5/2002,1866.6,2,Lili,,0,9/22/2002,0:00:00,22,9,25.2,79,23.1,26.8,,0.0,0.0,,1.0,1011.4,1011.4,37.0,1.0,1.0,97.0,0.02,0.28,15.2,16.1,57.0,57.0,24.5,29.1,29.3,29.3,29.3,0.0,0.0,0.0,0.0,27.6,91,23.9,31.0,3.1,3.1,0.0,,63.0,1014.5,1014.5,100.0,72.0,93.0,100.0,0.39,0.79,28.9,31.7,161.0,161.0,41.4,29.3,29.4,29.4,29.4,0.0,0.0,0.0,0.0,26.24,85.17,23.51,28.75,1.1,1.1,0.0,,41.79,1012.62,1012.62,62.29,23.75,22.62,98.96,0.13,0.51,22.61,24.5,126.08,126.21,33.6,29.28,29.34,29.34,29.34,0.0,0.0,0.0,0.0,0.0
2143,8/24/2019 12:00,0,,TD,10.4,-47.5,30,1010.0,north_atlantic,Dorian,2019,Hurricane Dorian (September 2019),Tropical Cyclone,8/28/2019,9/6/2019,1915.9,10,Dorian,,0,8/24/2019,12:00:00,24,8,25.1,81,23.0,27.1,,0.0,0.0,,1.0,1012.3,1012.3,40.0,1.0,9.0,36.0,0.02,0.29,9.6,10.3,25.0,25.0,10.4,28.5,28.4,28.4,28.4,0.0,0.0,0.0,0.0,27.1,91,23.8,30.3,6.1,6.1,0.0,,63.0,1015.8,1015.8,100.0,87.0,99.0,100.0,0.16,0.7,29.3,32.5,176.0,175.0,43.9,28.5,28.5,28.5,28.5,0.0,0.0,0.0,0.0,26.08,85.17,23.39,28.63,1.81,1.81,0.0,,41.92,1013.87,1013.87,73.54,29.88,46.21,86.12,0.07,0.5,21.8,23.9,86.71,86.46,28.53,28.5,28.46,28.46,28.46,0.0,0.0,0.0,0.0,0.0
806,9/16/1998 12:00,0,,TS,10.6,-31.3,35,1005.0,north_atlantic,Georges,1998,Hurricane Georges (September 1998),Tropical Cyclone,9/20/1998,9/29/1998,11191.0,16,Georges,,0,9/16/1998,12:00:00,16,9,25.1,81,22.8,27.2,,0.0,0.0,,2.0,1010.4,1010.4,65.0,1.0,27.0,52.0,0.01,0.32,0.7,0.8,6.0,6.0,9.7,28.5,28.4,28.4,28.4,0.0,0.0,0.0,0.0,26.7,90,23.9,31.5,6.8,6.8,0.0,,63.0,1015.3,1015.3,100.0,99.0,99.0,100.0,0.12,0.67,25.6,28.2,360.0,359.0,37.1,28.5,28.5,28.5,28.5,0.0,0.0,0.0,0.0,25.8,85.92,23.26,28.88,2.12,2.12,0.0,,50.12,1012.37,1012.37,94.79,43.71,76.21,90.71,0.06,0.47,17.65,19.08,189.08,175.08,27.9,28.5,28.46,28.46,28.46,0.0,0.0,0.0,0.0,0.0
