storm,deaths,min_time,max_time,avg_elevation,min_elevation,max_elevation,med_elevation,avg_temperature_2m,min_temperature_2m,max_temperature_2m,med_temperature_2m,avg_relativehumidity_2m,min_relativehumidity_2m,max_relativehumidity_2m,med_relativehumidity_2m,avg_dewpoint_2m,min_dewpoint_2m,max_dewpoint_2m,med_dewpoint_2m,avg_apparent_temperature,min_apparent_temperature,max_apparent_temperature,med_apparent_temperature,avg_precipitation,min_precipitation,max_precipitation,med_precipitation,avg_rain,min_rain,max_rain,med_rain,avg_pressure_msl,min_pressure_msl,max_pressure_msl,med_pressure_msl,avg_surface_pressure,min_surface_pressure,max_surface_pressure,med_surface_pressure,avg_cloudcover,min_cloudcover,max_cloudcover,med_cloudcover,avg_cloudcover_low,min_cloudcover_low,max_cloudcover_low,med_cloudcover_low,avg_cloudcover_mid,min_cloudcover_mid,max_cloudcover_mid,med_cloudcover_mid,avg_cloudcover_high,min_cloudcover_high,max_cloudcover_high,med_cloudcover_high,avg_et0_fao_evapotranspiration,min_et0_fao_evapotranspiration,max_et0_fao_evapotranspiration,med_et0_fao_evapotranspiration,avg_vapor_pressure_deficit,min_vapor_pressure_deficit,max_vapor_pressure_deficit,med_vapor_pressure_deficit,avg_windspeed_10m,min_windspeed_10m,max_windspeed_10m,med_windspeed_10m,avg_windspeed_100m,min_windspeed_100m,max_windspeed_100m,med_windspeed_100m,avg_winddirection_10m,min_winddirection_10m,max_winddirection_10m,med_winddirection_10m,avg_winddirection_100m,min_winddirection_100m,max_winddirection_100m,med_winddirection_100m,avg_windgusts_10m,min_windgusts_10m,max_windgusts_10m,med_windgusts_10m,avg_soil_temperature_0_to_7cm,min_soil_temperature_0_to_7cm,max_soil_temperature_0_to_7cm,med_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,min_soil_temperature_7_to_28cm,max_soil_temperature_7_to_28cm,med_soil_temperature_7_to_28cm,avg_soil_temperature_28_to_100cm,min_soil_temperature_28_to_100cm,max_soil_temperature_28_to_100cm,med_soil_temperature_28_to_100cm,avg_soil_temperature_100_to_255cm,min_soil_temperature_100_to_255cm,max_soil_temperature_100_to_255cm,med_soil_temperature_100_to_255cm,avg_soil_moisture_0_to_7cm,min_soil_moisture_0_to_7cm,max_soil_moisture_0_to_7cm,med_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,min_soil_moisture_7_to_28cm,max_soil_moisture_7_to_28cm,med_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,min_soil_moisture_28_to_100cm,max_soil_moisture_28_to_100cm,med_soil_moisture_28_to_100cm,avg_soil_moisture_100_to_255cm,min_soil_moisture_100_to_255cm,max_soil_moisture_100_to_255cm,med_soil_moisture_100_to_255cm,target_cost
Georges,16,1998-09-15,1998-10-01,63.6,0.0,1445.0,0.0,26.18,18.2,29.4,26.8,88.17,67,100,87.0,24.02,17.8,26.0,24.2,26.51,17.3,34.3,26.9,3.56,0.0,34.0,1.2,3.56,0.0,34.0,1.2,1003.31,971.2,1015.3,1005.8,996.32,840.9,1015.3,1002.5,84.53,19,100,99.0,50.31,0,100,43.0,55.1,0,100,58.0,86.61,0,100,100.0,0.09,0.0,0.54,0.08,0.42,0.0,1.3,0.44,39.89,0.5,109.5,35.1,52.1,0.8,141.4,45.1,153.4,0,360,156.0,150.29,0,360,155.0,66.89,9.7,167.4,61.2,27.37,19.8,30.0,28.4,27.64,21.0,30.0,28.5,27.89,22.1,30.0,28.5,27.85,22.6,30.0,28.5,0.15,0.0,0.52,0.0,0.15,0.0,0.52,0.0,0.13,0.0,0.52,0.0,0.11,0.0,0.5,0.0,11191.0
Isidore,5,2002-09-14,2002-09-27,26.16,0.0,431.0,0.0,25.72,12.3,29.7,26.6,89.05,53,100,88.0,23.73,12.3,25.7,24.3,26.72,11.0,36.2,27.45,3.2,0.0,26.9,1.3,3.2,0.0,26.9,1.3,998.96,971.2,1015.9,1000.1,995.95,949.6,1013.8,997.65,82.61,0,100,95.0,49.11,0,100,37.0,53.53,0,100,53.5,92.86,0,100,100.0,0.09,0.0,0.67,0.07,0.39,0.0,1.66,0.4,34.48,1.8,89.9,31.65,44.53,2.3,117.9,40.1,161.46,1,359,152.0,162.2,1,358,151.5,56.6,8.6,135.0,52.6,27.42,14.1,45.6,28.5,27.72,15.6,33.4,28.6,28.33,17.9,31.9,28.8,28.26,17.1,31.2,28.8,0.14,0.0,0.52,0.0,0.14,0.0,0.52,0.0,0.11,0.0,0.49,0.0,0.09,0.0,0.5,0.0,1943.5
Lili,2,2002-09-21,2002-10-04,3.77,0.0,77.0,0.0,26.4,21.6,31.8,26.5,86.52,54,100,87.0,23.94,19.3,25.9,24.0,27.61,19.7,34.8,27.8,2.15,0.0,25.5,1.2,2.15,0.0,25.5,1.2,1006.89,980.8,1014.5,1008.3,1006.45,980.8,1014.5,1008.1,79.8,1,100,88.0,40.67,0,100,34.0,44.81,0,100,31.0,95.14,0,100,100.0,0.1,0.0,0.58,0.07,0.47,0.0,2.15,0.45,33.49,1.1,92.8,30.75,40.83,2.3,121.3,36.4,133.93,2,360,142.0,133.9,1,360,142.0,49.94,8.6,137.2,44.6,28.27,22.6,29.9,28.8,28.34,23.8,29.4,28.8,28.35,23.5,29.4,28.8,28.4,24.1,29.4,28.8,0.07,0.0,0.52,0.0,0.07,0.0,0.52,0.0,0.06,0.0,0.51,0.0,0.05,0.0,0.44,0.0,1866.6
Ivan,57,2004-09-02,2004-09-24,35.21,-2.0,891.0,0.0,25.9,12.1,29.7,26.7,85.13,45,100,85.0,23.15,8.8,26.3,23.9,24.78,8.7,34.5,25.4,3.41,0.0,35.9,1.1,3.41,0.0,35.9,1.1,1001.58,950.2,1021.5,1006.8,997.62,901.4,1021.5,1005.85,75.34,0,100,86.0,42.76,0,100,31.0,47.22,0,100,38.0,75.21,0,100,100.0,0.12,0.0,0.59,0.1,0.51,0.0,1.54,0.51,46.81,1.1,137.4,40.5,59.43,1.6,178.4,49.6,147.35,0,360,150.0,147.26,0,360,151.0,75.34,8.3,211.3,64.8,27.69,14.7,30.2,28.7,27.83,17.1,30.0,28.7,27.88,18.3,30.0,28.7,27.7,17.0,30.0,28.7,0.06,0.0,0.52,0.0,0.06,0.0,0.52,0.0,0.06,0.0,0.52,0.0,0.06,0.0,0.5,0.0,33005.8
Dorian,10,2019-08-24,2019-09-09,4.11,0.0,183.0,0.0,25.5,7.7,30.3,26.6,85.38,54,100,86.0,22.85,4.0,26.1,24.3,24.48,-2.2,34.2,26.9,3.15,0.0,20.6,1.5,3.15,0.0,20.6,1.5,1002.0,963.8,1018.3,1008.2,1001.51,943.8,1018.3,1007.3,79.08,0,100,90.0,42.53,0,100,34.0,50.15,0,100,47.0,86.49,0,100,100.0,0.12,0.0,0.59,0.09,0.48,0.0,1.43,0.46,46.03,4.7,111.0,39.0,56.82,4.4,146.9,46.15,156.08,0,360,160.0,156.48,1,360,160.0,70.72,6.1,166.0,60.65,27.16,8.1,30.1,28.6,27.39,8.1,30.2,28.8,27.47,8.1,30.2,28.8,27.39,8.1,30.2,28.8,0.05,0.0,0.47,0.0,0.04,0.0,0.44,0.0,0.03,0.0,0.43,0.0,0.02,0.0,0.38,0.0,1915.9
Allen,13,1980-07-31,1980-08-11,58.15,0.0,892.0,0.0,26.24,19.6,29.6,26.5,86.92,60,99,88.0,23.86,16.9,26.2,24.0,25.38,16.2,33.4,25.9,3.21,0.0,22.3,2.0,3.21,0.0,22.3,2.0,1002.03,964.1,1015.5,1006.2,995.58,905.6,1015.5,1004.7,84.38,18,100,98.0,43.03,0,100,32.0,60.15,0,100,70.0,96.68,0,100,100.0,0.11,0.0,0.52,0.09,0.46,0.02,1.27,0.42,47.4,5.6,107.0,44.1,59.98,7.9,143.3,55.7,113.87,0,360,126.0,111.28,0,360,124.0,73.79,15.5,165.2,68.0,27.97,22.8,32.7,28.1,28.36,25.2,33.0,28.2,28.89,27.1,34.3,28.45,28.36,26.3,30.2,28.25,0.06,0.0,0.52,0.0,0.05,0.0,0.52,0.0,0.03,0.0,0.42,0.0,0.03,0.0,0.28,0.0,2165.4
Elsa,1,2021-06-30,2021-07-10,14.35,0.0,127.0,0.0,25.5,14.5,32.4,26.3,86.07,57,100,86.0,22.92,11.8,25.5,23.5,27.0,12.0,37.9,27.2,1.54,0.0,23.6,0.4,1.54,0.0,23.6,0.4,1012.7,1000.1,1018.8,1013.2,1011.04,991.8,1018.8,1012.4,71.11,0,100,81.0,35.66,0,100,23.0,46.19,0,100,37.0,78.7,0,100,99.0,0.13,0.0,0.7,0.08,0.48,0.0,2.08,0.47,27.88,0.4,60.1,27.55,35.32,1.1,74.5,35.75,146.88,3,358,145.0,148.44,2,353,146.0,44.44,5.0,89.3,45.0,26.49,12.4,31.6,28.0,26.54,13.0,31.5,28.0,26.06,13.0,29.8,28.1,24.95,9.0,29.5,28.1,0.12,0.0,0.52,0.0,0.12,0.0,0.51,0.0,0.09,0.0,0.39,0.0,0.1,0.0,0.45,0.0,1358.6
Andrew,61,1992-08-16,1992-08-28,29.77,0.0,891.0,0.0,25.96,17.0,31.1,26.3,85.67,60,100,85.0,23.32,12.9,25.5,23.5,27.61,17.0,35.5,28.1,1.49,0.0,23.7,0.3,1.49,0.0,23.7,0.3,1012.96,989.9,1020.7,1014.9,1009.61,902.4,1020.7,1014.8,63.76,2,100,60.0,36.23,0,100,26.0,34.65,0,100,19.0,69.06,0,100,96.0,0.14,0.0,0.63,0.07,0.5,0.0,1.73,0.49,28.51,0.8,80.1,25.7,35.57,0.8,102.2,30.6,131.56,2,360,134.0,130.34,1,359,134.0,45.64,6.8,122.0,38.9,27.51,18.3,29.8,28.1,27.69,19.4,29.8,28.1,27.63,18.6,29.8,28.1,27.27,16.1,29.8,28.0,0.1,0.0,0.52,0.0,0.1,0.0,0.52,0.0,0.07,0.0,0.51,0.0,0.08,0.0,0.49,0.0,58590.0
Frances,48,2004-08-25,2004-09-10,49.5,0.0,396.0,0.0,25.21,9.8,28.6,26.5,88.2,59,100,87.0,23.06,9.4,25.8,24.1,24.04,5.9,34.1,24.5,3.74,0.0,24.4,1.9,3.74,0.0,24.4,1.9,1000.13,958.3,1021.2,1004.5,994.43,957.4,1021.2,998.8,85.75,0,100,100.0,50.46,0,100,41.0,62.85,0,100,74.0,83.0,0,100,100.0,0.1,0.0,0.57,0.09,0.41,0.0,0.99,0.44,46.85,0.7,123.7,41.1,61.29,0.4,167.8,50.85,148.23,0,360,161.0,147.63,0,360,160.0,77.59,5.0,196.2,65.2,26.47,12.2,29.6,28.5,26.7,13.2,30.0,28.5,26.83,13.3,30.0,28.5,26.3,11.5,30.0,28.5,0.12,0.0,0.52,0.0,0.12,0.0,0.52,0.0,0.1,0.0,0.51,0.0,0.09,0.0,0.47,0.0,15777.9
Charley,35,2004-08-09,2004-08-15,3.77,0.0,46.0,0.0,26.02,19.1,29.5,26.45,86.19,61,100,86.0,23.49,18.0,25.9,24.0,27.65,18.7,35.7,27.8,1.82,0.0,20.6,0.5,1.82,0.0,20.6,0.5,1013.62,999.6,1024.6,1013.35,1013.18,996.5,1024.6,1013.1,72.95,4,100,77.0,30.97,0,100,20.0,43.71,0,100,30.0,93.07,0,100,100.0,0.12,0.0,0.61,0.08,0.48,0.0,1.39,0.47,29.12,2.0,82.0,30.0,36.19,2.9,104.7,35.55,140.43,1,357,133.0,141.82,3,360,134.5,46.39,4.7,128.2,45.0,27.35,18.8,31.4,28.4,27.53,18.9,31.6,28.5,27.52,18.9,30.6,28.5,27.13,18.9,30.6,28.45,0.11,0.0,0.5,0.0,0.1,0.0,0.48,0.0,0.07,0.0,0.41,0.0,0.07,0.0,0.36,0.0,25759.2
